,Ward No.,Ward,Country,State,location,Longitude,Latitude
0,1,Khori Jamalpur,India,Faridabad,"Khori Jamalpur, Faridabad, India",,
1,2,Kot,India,Faridabad,"Kot, Faridabad, India",77.1675548,28.3332926
2,3,Sirohi,India,Faridabad,"Sirohi, Faridabad, India",77.180124,28.3210931
3,4,Alampur,India,Faridabad,"Alampur, Faridabad, India",,
4,5,Tikri Khera,India,Faridabad,"Tikri Khera, Faridabad, India",,
5,6,Dhauj,India,Faridabad,"Dhauj, Faridabad, India",,
6,7,Mangar,India,Faridabad,"Mangar, Faridabad, India",77.2394449,28.2914894
7,8,Pavta,India,Faridabad,"Pavta, Faridabad, India",,
8,9,Fatehpur Taga,India,Faridabad,"Fatehpur Taga, Faridabad, India",77.2390299,28.3262429
9,10,Sarurpur,India,Faridabad,"Sarurpur, Faridabad, India",,
10,11,Nekpur,India,Faridabad,"Nekpur, Faridabad, India",77.2409329,28.3521946
11,12,Madalpur,India,Faridabad,"Madalpur, Faridabad, India",,
12,13,Kheri Gujran,India,Faridabad,"Kheri Gujran, Faridabad, India",,
13,14,Gothra Mohabtabad,India,Faridabad,"Gothra Mohabtabad, Faridabad, India",,
14,15,Pali,India,Faridabad,"Pali, Faridabad, India",77.2444545,28.3791854
15,16,Kavra,India,Faridabad,"Kavra, Faridabad, India",,
16,17,Rajpur Kalan,India,Faridabad,"Rajpur Kalan, Faridabad, India",,
17,18,Bhanskola,India,Faridabad,"Bhanskola, Faridabad, India",,
18,19,Lalpur,India,Faridabad,"Lalpur, Faridabad, India",,
19,20,Dadasiya,India,Faridabad,"Dadasiya, Faridabad, India",,
20,21,Bhupani,India,Faridabad,"Bhupani, Faridabad, India",,
21,22,Palwali,India,Faridabad,"Palwali, Faridabad, India",,
22,23,Tikwali,India,Faridabad,"Tikwali, Faridabad, India",,
23,24,Tilpat,India,Faridabad,"Tilpat, Faridabad, India",,
24,25,Bhatola,India,Faridabad,"Bhatola, Faridabad, India",,
25,26,Pakhal,India,Faridabad,"Pakhal, Faridabad, India",77.2201875,28.3622752
26,27,Kheri Kalan,India,Faridabad,"Kheri Kalan, Faridabad, India",,
27,28,Baroli/ Badoli,India,Faridabad,"Baroli/ Badoli, Faridabad, India",,
28,29,Bhuapur,India,Faridabad,"Bhuapur, Faridabad, India",,
29,30,Dehkola,India,Faridabad,"Dehkola, Faridabad, India",,
30,31,Mahmudpur,India,Faridabad,"Mahmudpur, Faridabad, India",,
31,32,Tajupur,India,Faridabad,"Tajupur, Faridabad, India",,
32,33,Badarpur Sed,India,Faridabad,"Badarpur Sed, Faridabad, India",,
33,34,Nacholi,India,Faridabad,"Nacholi, Faridabad, India",,
34,35,Jasana,India,Faridabad,"Jasana, Faridabad, India",,
35,36,Shahbad,India,Faridabad,"Shahbad, Faridabad, India",,
36,37,Chirsi,India,Faridabad,"Chirsi, Faridabad, India",,
37,38,Amipur,India,Faridabad,"Amipur, Faridabad, India",,
38,39,Sidhola,India,Faridabad,"Sidhola, Faridabad, India",,
39,40,Amipur Shikargah,India,Faridabad,"Amipur Shikargah, Faridabad, India",,
40,41,Faridpur,India,Faridabad,"Faridpur, Faridabad, India",77.3767466,28.3819824
41,42,Sadpura,India,Faridabad,"Sadpura, Faridabad, India",77.3850811,28.3711988
42,43,Nimka,India,Faridabad,"Nimka, Faridabad, India",77.3714727,28.3583384
43,44,Tigaon,India,Faridabad,"Tigaon, Faridabad, India",77.3965287,28.3508902
44,45,Manjhawali,India,Faridabad,"Manjhawali, Faridabad, India",,
45,46,Bhansrawali,India,Faridabad,"Bhansrawali, Faridabad, India",,
46,47,Lehdola,India,Faridabad,"Lehdola, Faridabad, India",,
47,48,Fattupura,India,Faridabad,"Fattupura, Faridabad, India",,
48,49,Tigaon Adhana Patti,India,Faridabad,"Tigaon Adhana Patti, Faridabad, India",,
