Ward No.,Ward
1,Khori Jamalpur
2,Kot
3,Sirohi
4,Alampur
5,Tikri Khera
6,Dhauj
7,Mangar
8,Pavta
9,Fatehpur Taga
10,Sarurpur
11,Nekpur
12,Madalpur
13,Kheri Gujran
14,Gothra Mohabtabad
15,Pali
16,Kavra
17,Rajpur Kalan
18,Bhanskola
19,Lalpur
20,Dadasiya
21,Bhupani
22,Palwali
23,Tikwali
24,Tilpat
25,Bhatola
26,Pakhal
27,Kheri Kalan
28,Baroli/ Badoli
29,Bhuapur
30,Dehkola
31,Mahmudpur
32,Tajupur
33,Badarpur Sed
34,Nacholi
35,Jasana
36,Shahbad
37,Chirsi
38,Amipur
39,Sidhola
40,Amipur Shikargah
41,Faridpur
42,Sadpura
43,Nimka
44,Tigaon
45,Manjhawali
46,Bhansrawali
47,Lehdola
48,Fattupura
49,Tigaon Adhana Patti
