,Ward No.,Ward,Country,State,location,Longitude,Latitude
0,1,Bagu Krishna Nagar,India,Ghaziabad,"Bagu Krishna Nagar, Ghaziabad, India",,
1,2,Rahul Vihar,India,Ghaziabad,"Rahul Vihar, Ghaziabad, India",77.40736,28.6387843
2,3,Old Vijay Nagar,India,Ghaziabad,"Old Vijay Nagar, Ghaziabad, India",77.4233433,28.6481671
3,4,Mata Colony,India,Ghaziabad,"Mata Colony, Ghaziabad, India",77.4202853,28.6470455
4,5,Gagan Vihar,India,Ghaziabad,"Gagan Vihar, Ghaziabad, India",,
5,6,Deen Dayal Puri,India,Ghaziabad,"Deen Dayal Puri, Ghaziabad, India",,
6,7,Bihari Pura,India,Ghaziabad,"Bihari Pura, Ghaziabad, India",77.4218577,28.6300538
7,8,Nehru Nagar II,India,Ghaziabad,"Nehru Nagar II, Ghaziabad, India",77.4385178,28.6600637
8,9,Sibbanpura Patel,India,Ghaziabad,"Sibbanpura Patel, Ghaziabad, India",,
9,10,DLF Colony,India,Ghaziabad,"DLF Colony, Ghaziabad, India",,
10,11,Nand Gram Deen Dayal Puri,India,Ghaziabad,"Nand Gram Deen Dayal Puri, Ghaziabad, India",,
11,12,Kalka Garhi,India,Ghaziabad,"Kalka Garhi, Ghaziabad, India",,
12,13,Ghukna,India,Ghaziabad,"Ghukna, Ghaziabad, India",,
13,14,New Vijay Nagar,India,Ghaziabad,"New Vijay Nagar, Ghaziabad, India",77.4145671,28.6519331
14,15,Charan Singh Colony,India,Ghaziabad,"Charan Singh Colony, Ghaziabad, India",,
15,16,Morta,India,Ghaziabad,"Morta, Ghaziabad, India",77.4535132,28.7253294
16,17,Seva Nagar,India,Ghaziabad,"Seva Nagar, Ghaziabad, India",,
17,18,Shashtri Nagar Razapur,India,Ghaziabad,"Shashtri Nagar Razapur, Ghaziabad, India",,
18,19,Patel Nagar Mukand Nagar,India,Ghaziabad,"Patel Nagar Mukand Nagar, Ghaziabad, India",,
19,20,Bhopura,India,Ghaziabad,"Bhopura, Ghaziabad, India",,
20,21,Bhowapur,India,Ghaziabad,"Bhowapur, Ghaziabad, India",,
21,22,Daulat Pura,India,Ghaziabad,"Daulat Pura, Ghaziabad, India",,
22,23,Kailash Nagar,India,Ghaziabad,"Kailash Nagar, Ghaziabad, India",77.4182434,28.6591617
23,24,Mehrauli,India,Ghaziabad,"Mehrauli, Ghaziabad, India",,
24,25,Ambedkar Nagar,India,Ghaziabad,"Ambedkar Nagar, Ghaziabad, India",77.42868,28.6400895
25,26,Madho pur,India,Ghaziabad,"Madho pur, Ghaziabad, India",,
26,27,Dundahera,India,Ghaziabad,"Dundahera, Ghaziabad, India",77.4389074,28.6335729
27,28,Rajiv Colony,India,Ghaziabad,"Rajiv Colony, Ghaziabad, India",,
28,29,Kuti,India,Ghaziabad,"Kuti, Ghaziabad, India",,
29,30,Sadarpur,India,Ghaziabad,"Sadarpur, Ghaziabad, India",,
30,31,Nandgram Sihani,India,Ghaziabad,"Nandgram Sihani, Ghaziabad, India",,
31,32,Krishna Nagar,India,Ghaziabad,"Krishna Nagar, Ghaziabad, India",77.4301912,28.6885567
32,33,Sarai Nagar Ali,India,Ghaziabad,"Sarai Nagar Ali, Ghaziabad, India",,
33,34,Shahid Nagar I,India,Ghaziabad,"Shahid Nagar I, Ghaziabad, India",,
34,35,Akbarpur,India,Ghaziabad,"Akbarpur, Ghaziabad, India",77.4065167,28.6312135
35,36,Prahalad Garhi,India,Ghaziabad,"Prahalad Garhi, Ghaziabad, India",,
36,37,Shalimar Garden Main,India,Ghaziabad,"Shalimar Garden Main, Ghaziabad, India",,
37,38,Arthala,India,Ghaziabad,"Arthala, Ghaziabad, India",77.3918919,28.676999
38,39,Nasirpur,India,Ghaziabad,"Nasirpur, Ghaziabad, India",,
39,40,Sahibabad,India,Ghaziabad,"Sahibabad, Ghaziabad, India",77.3700121,28.6722772
40,41,Maharajpur,India,Ghaziabad,"Maharajpur, Ghaziabad, India",77.3295611416359,28.65479225
41,42,Shahpur Bamheta,India,Ghaziabad,"Shahpur Bamheta, Ghaziabad, India",,
42,43,Kadkad Model,India,Ghaziabad,"Kadkad Model, Ghaziabad, India",,
43,44,Sanjay Colony,India,Ghaziabad,"Sanjay Colony, Ghaziabad, India",,
44,45,Karhera,India,Ghaziabad,"Karhera, Ghaziabad, India",,
45,46,Guldhar,India,Ghaziabad,"Guldhar, Ghaziabad, India",77.4555218,28.7037921
46,47,Shahtri Nagar Mahendra Enclave,India,Ghaziabad,"Shahtri Nagar Mahendra Enclave, Ghaziabad, India",,
47,48,Mirzapur,India,Ghaziabad,"Mirzapur, Ghaziabad, India",77.4159643,28.6505563
48,49,Nandgram Mariyam Nagar,India,Ghaziabad,"Nandgram Mariyam Nagar, Ghaziabad, India",,
49,50,Sadiq Nagar,India,Ghaziabad,"Sadiq Nagar, Ghaziabad, India",,
50,51,Pratap Vihar Sector 11,India,Ghaziabad,"Pratap Vihar Sector 11, Ghaziabad, India",77.4097432,28.6444638
51,52,Arya Nagar Kotgaon,India,Ghaziabad,"Arya Nagar Kotgaon, Ghaziabad, India",,
52,53,Raispur,India,Ghaziabad,"Raispur, Ghaziabad, India",,
53,54,Vasundhara I,India,Ghaziabad,"Vasundhara I, Ghaziabad, India",77.37572452012591,28.6628814
54,55,Vijay Nagar Sec 11 E Block,India,Ghaziabad,"Vijay Nagar Sec 11 E Block, Ghaziabad, India",,
55,56,Chiranjeev Vihar Avantika,India,Ghaziabad,"Chiranjeev Vihar Avantika, Ghaziabad, India",,
56,57,Makanpur,India,Ghaziabad,"Makanpur, Ghaziabad, India",,
57,58,Shivpuri,India,Ghaziabad,"Shivpuri, Ghaziabad, India",77.4230232,28.6410738
58,59,Chandrapuri,India,Ghaziabad,"Chandrapuri, Ghaziabad, India",,
59,60,Shayam Park Main,India,Ghaziabad,"Shayam Park Main, Ghaziabad, India",,
60,61,Vasundhara II,India,Ghaziabad,"Vasundhara II, Ghaziabad, India",77.37572452012591,28.6628814
61,62,Govindpuram Harsaon,India,Ghaziabad,"Govindpuram Harsaon, Ghaziabad, India",,
62,63,Pasaunda,India,Ghaziabad,"Pasaunda, Ghaziabad, India",,
63,64,Garima Garden,India,Ghaziabad,"Garima Garden, Ghaziabad, India",,
64,65,Vivekanand Nagar Jivan Vihar,India,Ghaziabad,"Vivekanand Nagar Jivan Vihar, Ghaziabad, India",,
65,66,Mausam Vihar,India,Ghaziabad,"Mausam Vihar, Ghaziabad, India",,
66,67,Kamla Nehru Nagar Sanjay Nagar I,India,Ghaziabad,"Kamla Nehru Nagar Sanjay Nagar I, Ghaziabad, India",,
67,68,Braj Vihar,India,Ghaziabad,"Braj Vihar, Ghaziabad, India",,
68,69,Lohiya Nagar,India,Ghaziabad,"Lohiya Nagar, Ghaziabad, India",,
69,70,Janakpuri,India,Ghaziabad,"Janakpuri, Ghaziabad, India",,
70,71,Sanjay Nagar II,India,Ghaziabad,"Sanjay Nagar II, Ghaziabad, India",77.4709115,28.6313989
71,72,Kaushambi,India,Ghaziabad,"Kaushambi, Ghaziabad, India",77.3243485,28.6453286
72,73,Shalimar Garden Extension,India,Ghaziabad,"Shalimar Garden Extension, Ghaziabad, India",,
73,74,Vasundhara III,India,Ghaziabad,"Vasundhara III, Ghaziabad, India",77.37572452012591,28.6628814
74,75,Lajpat Nagar I,India,Ghaziabad,"Lajpat Nagar I, Ghaziabad, India",77.4120356,28.6711527
75,76,Vaishali I,India,Ghaziabad,"Vaishali I, Ghaziabad, India",77.3397103,28.6438736
76,77,Vaishali II,India,Ghaziabad,"Vaishali II, Ghaziabad, India",77.3397103,28.6438736
77,78,Shalimar Garden Extension I,India,Ghaziabad,"Shalimar Garden Extension I, Ghaziabad, India",,
78,79,Abhay Khand,India,Ghaziabad,"Abhay Khand, Ghaziabad, India",,
79,80,Rajendra Nagar sec 2,India,Ghaziabad,"Rajendra Nagar sec 2, Ghaziabad, India",,
80,81,Shakti Khand,India,Ghaziabad,"Shakti Khand, Ghaziabad, India",,
81,82,Jawahar Park,India,Ghaziabad,"Jawahar Park, Ghaziabad, India",,
82,83,Shyam Park Extension,India,Ghaziabad,"Shyam Park Extension, Ghaziabad, India",,
83,84,Raj Nagar,India,Ghaziabad,"Raj Nagar, Ghaziabad, India",77.3994415,28.6861763
84,85,Lajpat Nagar II,India,Ghaziabad,"Lajpat Nagar II, Ghaziabad, India",,
85,86,Rajendra Nagar Sec 5,India,Ghaziabad,"Rajendra Nagar Sec 5, Ghaziabad, India",77.5748778,28.8366977
86,87,Gyankhand Indirapuram,India,Ghaziabad,"Gyankhand Indirapuram, Ghaziabad, India",,
87,88,Gandhi Nagar Turab Nagar,India,Ghaziabad,"Gandhi Nagar Turab Nagar, Ghaziabad, India",,
88,89,Vaishali III,India,Ghaziabad,"Vaishali III, Ghaziabad, India",77.3397103,28.6438736
89,90,Shahid Nagar II,India,Ghaziabad,"Shahid Nagar II, Ghaziabad, India",,
90,91,Kavi Nagar,India,Ghaziabad,"Kavi Nagar, Ghaziabad, India",,
91,92,Kaila Islam Nagar,India,Ghaziabad,"Kaila Islam Nagar, Ghaziabad, India",,
92,93,Kaila Bhatta,India,Ghaziabad,"Kaila Bhatta, Ghaziabad, India",,
93,94,Surya Nagar,India,Ghaziabad,"Surya Nagar, Ghaziabad, India",77.3214851,28.6669621
94,95,Prem Nagar Kaila,India,Ghaziabad,"Prem Nagar Kaila, Ghaziabad, India",,
