Ward No.,Ward
1,Bagu Krishna Nagar
2,Rahul Vihar
3,Old Vijay Nagar
4,Mata Colony
5,Gagan Vihar
6,Deen Dayal Puri
7,Bihari Pura
8,Nehru Nagar II
9,Sibbanpura Patel
10,DLF Colony
11,Nand Gram Deen Dayal Puri
12,Kalka Garhi
13,Ghukna
14,New Vijay Nagar
15,Charan Singh Colony
16,Morta
17,Seva Nagar
18,Shashtri Nagar Razapur
19,Patel Nagar Mukand Nagar
20,Bhopura
21,Bhowapur
22,Daulat Pura
23,Kailash Nagar
24,Mehrauli
25,Ambedkar Nagar
26,Madho pur
27,Dundahera
28,Rajiv Colony
29,Kuti
30,Sadarpur
31,Nandgram Sihani
32,Krishna Nagar
33,Sarai Nagar Ali
34,Shahid Nagar I
35,Akbarpur
36,Prahalad Garhi
37,Shalimar Garden Main
38,Arthala
39,Nasirpur
40,Sahibabad
41,Maharajpur
42,Shahpur Bamheta
43,Kadkad Model
44,Sanjay Colony
45,Karhera
46,Guldhar
47,Shahtri Nagar Mahendra Enclave
48,Mirzapur
49,Nandgram Mariyam Nagar
50,Sadiq Nagar
51,Pratap Vihar Sector 11
52,Arya Nagar Kotgaon
53,Raispur
54,Vasundhara I
55,Vijay Nagar Sec 11 E Block
56,Chiranjeev Vihar Avantika
57,Makanpur
58,Shivpuri
59,Chandrapuri
60,Shayam Park Main
61,Vasundhara II
62,Govindpuram Harsaon
63,Pasaunda
64,Garima Garden
65,Vivekanand Nagar Jivan Vihar
66,Mausam Vihar
67,Kamla Nehru Nagar Sanjay Nagar I
68,Braj Vihar
69,Lohiya Nagar
70,Janakpuri
71,Sanjay Nagar II
72,Kaushambi
73,Shalimar Garden Extension
74,Vasundhara III
75,Lajpat Nagar I
76,Vaishali I
77,Vaishali II
78,Shalimar Garden Extension I
79,Abhay Khand
80,Rajendra Nagar sec 2
81,Shakti Khand
82,Jawahar Park
83,Shyam Park Extension
84,Raj Nagar
85,Lajpat Nagar II
86,Rajendra Nagar Sec 5
87,Gyankhand Indirapuram
88,Gandhi Nagar Turab Nagar
89,Vaishali III
90,Shahid Nagar II
91,Kavi Nagar
92,Kaila Islam Nagar
93,Kaila Bhatta
94,Surya Nagar
95,Prem Nagar Kaila
96,Nehru Nagar III
97,Ramprastha
98,Ahinsa Khand
99,Vaibhav Khand I
100,Shipra Suncity Indirapura
