,Ward Number,Ward,Country,State,location,Longitude,Latitude
0,Ward No. 1,New Palam Vihar Phase 1,India,Gurugram,"New Palam Vihar Phase 1, Gurugram, India",77.04295559877025,28.5179556
1,Ward No. 1,New Palam Vihar Phase 2,India,Gurugram,"New Palam Vihar Phase 2, Gurugram, India",77.04295559877025,28.5179556
2,Ward No. 1, New Palam Vihar Phase 3,India,Gurugram," New Palam Vihar Phase 3, Gurugram, India",77.02030067252973,28.49833525
3,Ward No. 1,Nihal Colony,India,Gurugram,"Nihal Colony, Gurugram, India",,
4,Ward No. 1,Pawala Khusrupur,India,Gurugram,"Pawala Khusrupur, Gurugram, India",,
5,Ward No. 1,Pawala Khusrupur Village,India,Gurugram,"Pawala Khusrupur Village, Gurugram, India",,
6,Ward No. 1,Rajendra Park,India,Gurugram,"Rajendra Park, Gurugram, India",,
7,Ward No. 1,Sarai Alawardi,India,Gurugram,"Sarai Alawardi, Gurugram, India",,
8,Ward No. 1,Sarai Alawardi Village,India,Gurugram,"Sarai Alawardi Village, Gurugram, India",,
9,Ward No. 1,Sector 100A,India,Gurugram,"Sector 100A, Gurugram, India",76.89917954103845,28.39121925
10,Ward No. 1,Sector 106,India,Gurugram,"Sector 106, Gurugram, India",76.9967796,28.5060806
11,Ward No. 1,Sector 109,India,Gurugram,"Sector 109, Gurugram, India",77.0065956,28.5109205
12,Ward No. 1,Sector 111,India,Gurugram,"Sector 111, Gurugram, India",77.0336203,28.5222773
13,Ward No. 1,Sector 112,India,Gurugram,"Sector 112, Gurugram, India",77.0188612,28.5203402
14,Ward No. 1,Sector 113,India,Gurugram,"Sector 113, Gurugram, India",77.0250282,28.5286649
15,Ward No. 2,Chauma Khera,India,Gurugram,"Chauma Khera, Gurugram, India",,
16,Ward No. 2,Chauma Khera Village,India,Gurugram,"Chauma Khera Village, Gurugram, India",,
17,Ward No. 2,Moulahera,India,Gurugram,"Moulahera, Gurugram, India",,
18,Ward No. 2,Moulahera Village,India,Gurugram,"Moulahera Village, Gurugram, India",,
19,Ward No. 2,Palam Vihar,India,Gurugram,"Palam Vihar, Gurugram, India",77.04317468375191,28.5115656
20,Ward No. 2,SECTOR 22,India,Gurugram,"SECTOR 22, Gurugram, India",77.0655182,28.506318
21,Ward No. 2,SECTOR 23,India,Gurugram,"SECTOR 23, Gurugram, India",77.0530094,28.510319
22,Ward No. 3,Dundahera,India,Gurugram,"Dundahera, Gurugram, India",77.0778872,28.5128624
23,Ward No. 3,Dundahera Village,India,Gurugram,"Dundahera Village, Gurugram, India",77.0778872,28.5128624
24,Ward No. 3,SECTOR 21,India,Gurugram,"SECTOR 21, Gurugram, India",77.0730087,28.5143629
25,Ward No. 3,SECTOR 22,India,Gurugram,"SECTOR 22, Gurugram, India",77.0655182,28.506318
26,Ward No. 4,Maruti Udyog,India,Gurugram,"Maruti Udyog, Gurugram, India",77.0696526,28.4961962
27,Ward No. 4,Sarhaul,India,Gurugram,"Sarhaul, Gurugram, India",,
28,Ward No. 4,Sarhaul Village,India,Gurugram,"Sarhaul Village, Gurugram, India",,
29,Ward No. 4,SECTOR 18,India,Gurugram,"SECTOR 18, Gurugram, India",77.0710259,28.4913452
30,Ward No. 4,Udyog Vihar Phase 1,India,Gurugram,"Udyog Vihar Phase 1, Gurugram, India",,
31,Ward No. 4,Udyog Vihar Phase 2,India,Gurugram,"Udyog Vihar Phase 2, Gurugram, India",,
32,Ward No. 4,Udyog Vihar Phase 3,India,Gurugram,"Udyog Vihar Phase 3, Gurugram, India",,
33,Ward No. 4,Udyog Vihar Phase 4,India,Gurugram,"Udyog Vihar Phase 4, Gurugram, India",,
34,Ward No. 4,Udyog Vihar Phase 5,India,Gurugram,"Udyog Vihar Phase 5, Gurugram, India",,
35,Ward No. 5,Ammunition Depot,India,Gurugram,"Ammunition Depot, Gurugram, India",77.04179376059882,28.487504299999998
36,Ward No. 5,Ashok Vihar Phase 3,India,Gurugram,"Ashok Vihar Phase 3, Gurugram, India",,
