Ward Number,Ward
Ward No. 1,New Palam Vihar Phase 1
Ward No. 1,New Palam Vihar Phase 2
Ward No. 1, New Palam Vihar Phase 3
Ward No. 1,Nihal Colony
Ward No. 1,Pawala Khusrupur
Ward No. 1,Pawala Khusrupur Village
Ward No. 1,Rajendra Park
Ward No. 1,Sarai Alawardi
Ward No. 1,Sarai Alawardi Village
Ward No. 1,Sector 100A
Ward No. 1,Sector 106
Ward No. 1,Sector 109
Ward No. 1,Sector 111
Ward No. 1,Sector 112
Ward No. 1,Sector 113
Ward No. 2,Chauma Khera
Ward No. 2,Chauma Khera Village
Ward No. 2,Moulahera
Ward No. 2,Moulahera Village
Ward No. 2,Palam Vihar
Ward No. 2,SECTOR 22
Ward No. 2,SECTOR 23
Ward No. 3,Dundahera
Ward No. 3,Dundahera Village
Ward No. 3,SECTOR 21
Ward No. 3,SECTOR 22
Ward No. 4,Maruti Udyog
Ward No. 4,Sarhaul
Ward No. 4,Sarhaul Village
Ward No. 4,SECTOR 18
Ward No. 4,Udyog Vihar Phase 1
Ward No. 4,Udyog Vihar Phase 2
Ward No. 4,Udyog Vihar Phase 3
Ward No. 4,Udyog Vihar Phase 4
Ward No. 4,Udyog Vihar Phase 5
Ward No. 5,Ammunition Depot
Ward No. 5,Ashok Vihar Phase 3
Ward No. 5,Carterpuri Village
Ward No. 5,Caterpuri
Ward No. 5,Palam Vihar Extn
Ward No. 5,SECTOR 23A
Ward No. 5,Shitla Colony
Ward No. 6,Apna Enclave
Ward No. 6,Ashok Vihar
Ward No. 6,Ashok Vihar Phase 2
Ward No. 6,Bhimgarh Kheri Phase 1
Ward No. 6,Bhimgarh Kheri Phase 2
Ward No. 6,Bhimgarh Kheri Phase 3
Ward No. 6,Palam Vihar
Ward No. 6,Sarai Alawardi 
Ward No. 7,
Ward No. 8,Basai
Ward No. 8,Basai Enclave 1
Ward No. 8,Basai Village
Ward No. 8,Dhanwapur
Ward No. 8,Dhanwapur Village
Ward No. 8,Gharoli Kalan
Ward No. 8,Gharoli Kalan Village
Ward No. 8,Ram Vihar
Ward No. 8,SECTOR 100
Ward No. 8,SECTOR 101
Ward No. 8,Sector 102
Ward No. 8,Sector 102A
Ward No. 8,Sector 103
Ward No. 8,SECTOR 104
Ward No. 8,SECTOR 37D
Ward No. 8,SECTOR 9B
Ward No. 8,Surat Nagar Phase 2
Ward No. 8,Tek Chand Nagar
Ward No. 9,Ambedkar Nagar
Ward No. 9,Devilal Colony
Ward No. 9,Feroz Gandhi Colony Phase 2
Ward No. 9,Ravi Nagar
Ward No. 9,SECTOR 9
Ward No. 9,SECTOR 9A
Ward No. 9,Surya Vihar
