S.No.,Smart Cities,Name of State/UT
1,Bhubaneswar,Odisha
2,Pune,Maharashtra
3,Jaipur,Rajasthan
4,Surat,Gujarat
5,Kochi,Kerala
6,Ahmedabad,Gujarat
7,Jabalpur,Madhya Pradesh
8,Visakhapatnam,Andhra Pradesh
9,Solapur,Maharashtra
10,Davangere,Karnataka
11,Indore,Madhya Pradesh
12,New Delhi,New Delhi
13,Coimbatore,Tamil Nadu
14,Kakinada,Andhra Pradesh
15,Belagaavi,Karnataka
16,Udaipur,Rajasthan
17,Guwahati,Assam
18,Chennai,Tamil Nadu
19,Ludhiana,Punjab
20,Bhopal,Madhya Pradesh
21,Lucknow,Uttar Pradesh
22,Bhagalpur,Bihar
23,Faridabad,Haryana
24,Chandigarh,Chandigarh
25,Raipur,Chattisgarh
26,Ranchi,Jharkhand
27,Dharamsala,Himachal Pradesh
28,Warangal,Telangana
29,Panaji,Goa
30,Agartala,Tripura
31,Imphal,Manipur
32,Port Blair,Andaman & Nicobar
33,New Town Kolkata,West Bengal
34,Amritsar,Punjab
35,Kalyan,Maharashtra
36,Ujjain,Madhya Pradesh
37,Tirupati,Andhra Pradesh
38,Nagpur,Maharashtra
39,Mangalore,Karnataka
40,Vellore,Tamil Nadu
41,Thane,Maharashtra
42,Gwalior,Madhya Pradesh
43,Agra,Uttar Pradesh
44,Nashik,Maharashtra
45,Rourkela,Odisha
46,Kanpur,Uttar Pradesh
47,Madurai,Tamil Nadu
48,Tumakuru,Karnataka
49,Kota,Rajasthan
50,Thanjavur,Tamil Nadu
51,Namchi,Sikkim
52,Jalandhar,Punjab
53,Shimoga,Karnataka
54,Salem,Tamil Nadu
55,Ajmer,Rajasthan
56,Varanasi,Uttar Pradesh
57,Kohima,Nagaland
58,Hubli-Dharwad,Karnataka
59,Aurangabad,Maharashtra
60,Vadodara,Gujarat
61,Thiruvananthapuram,Kerala
62,Naya Raipur,Chattisgarh
63,Rajkot,Gujarat
64,Amaravati/Vijayawada-Guntur,Andhra Pradesh
65,Patna,Bihar
66,Karimnagar,Telangana
67,Muzaffarpur,Bihar
68,Puducherry,Puducherry
69,Gandhinagar,Gujarat
70,Srinagar,Jammu and Kashmir
71,Sagar,Madhya Pradesh
72,Karnal,Haryana
73,Satna,Madhya Pradesh
74,Bangalore,Karnataka
75,Shimla,Himachal Pradesh
76,Dehradun,Uttarakhand
77,Jhansi,Uttar Pradesh
78,"PCMC, Pune",Maharashtra
79,Bilaspur,Chattisgarh
80,Pasighat,Arunachal Pradesh
81,Jammu,Jammu and Kashmir
82,Dahod,Gujarat
83,Thoothukudi,Tamil Nadu
84,Tiruchirappalli,Tamil Nadu
85,Tirunelveli,Tamil Nadu
86,Tiruppur,Tamil Nadu
87,Aizwal,Mizoram
88,Prayagraj,Uttar Pradesh
89,Aligarh,Uttar Pradesh
90,Gangtok,Sikkim
91,Erode,Tamil Nadu
92,Saharanpur,Uttar Pradesh
93,Moradabad,Uttar Pradesh
94,Bareilly,Uttar Pradesh
95,Itanagar,Arunachal Pradesh
96,Silvassa,Dadra and Nagar Haveli
97,Diu,Daman and Diu
98,Kavaratti,Lakshadweep
99,Bihar Sharif,Bihar
100,Shillong,Meghalaya
