latitude,longitude,altitude,geometry,coordinates,@id,alt_name,amenity,bus,name,public_transport,shelter,barrier,short_name,network,operator,building,landuse,wheelchair,internet_access,addr:postcode,depot,addr:city,addr:housenumber,addr:street,name:hi,name:de,name:en
28.6697241,77.2312379,,Polygon,"77.2312379,28.6697241,77.2298272,28.6693074,77.2289492,28.6690897,77.2288537,28.668804,77.2292791,28.6678113,77.2298232,28.66795,77.2298942,28.6676548,77.2304176,28.6678088,77.2312139,28.6682197,77.231613,28.6684517,77.2319827,28.6685885,77.2316869,28.6694511,77.2312379,28.6697241",way/40943545,Kashmere Gate ISBT,bus_station,yes,Maharana Pratap ISBT,station,yes,,,,,,,,,,,,,,,,
28.6452228,77.3122859,,Polygon,"77.3122859,28.6452228,77.3127109,28.6448145,77.3160965,28.644967,77.3165219,28.6461989,77.3174375,28.6484411,77.3167491,28.6486213,77.3154595,28.6475851,77.3153672,28.647513,77.3149716,28.647206,77.3122859,28.6452228",way/52081141,,bus_station,yes,Anand Vihar Interstate Bus Terminal,station,,wall,Anand Vihar ISBT,,,,,,,,,,,,,,
28.5840027,77.2584308,,Polygon,"77.2584308,28.5840027,77.2595589,28.5842901,77.2587745,28.5864321,77.2580583,28.5894221,77.2571902,28.5890822,77.2573837,28.587441,77.2578261,28.586436,77.2584308,28.5840027",way/80439683,,bus_station,yes,Sarai Kale Khan ISBT,station,,,,,,,,,,,,,,,,,
28.6854887,77.329553,,Polygon,"77.329553,28.6854887,77.3315132,28.6826541,77.331729,28.6828329,77.3317521,28.6829774,77.3308478,28.686125,77.329553,28.6854887",way/153965502,,bus_station,yes,Seemapuri Bus Depot,station,,,,Delhi Public Transport,Delhi Transport Corporation,,,,,,,,,,,,
28.6692699,77.2309986,,Polygon,"77.2309986,28.6692699,77.2303673,28.6690822,77.2304304,28.668919,77.2302403,28.6688624,77.2300676,28.6688111,77.2302418,28.66836,77.2304134,28.668411,77.2305978,28.6684659,77.2306605,28.6683036,77.2312985,28.6684933,77.2309986,28.6692699",way/170062629,,bus_station,yes,,station,,,,,,yes,,,,,,,,,,,
28.6690612,77.2296923,,Polygon,"77.2296923,28.6690612,77.2298532,28.6686378,77.2297584,28.6686101,77.2297023,28.6685937,77.2298204,28.668283,77.2298794,28.6683003,77.2299713,28.6683272,77.2300812,28.6680379,77.2303347,28.6681121,77.2302418,28.66836,77.2300676,28.6688111,77.2299458,28.6691354,77.2296923,28.6690612",way/170062630,,bus_station,yes,Maharana Pratap ISBT,station,,,,,,yes,,,,,,,,,,,
28.5792481,77.2250247,,Polygon,"77.2250247,28.5792481,77.2259259,28.5791892,77.2272241,28.5790974,77.2279054,28.5790573,77.228702,28.5790573,77.2296649,28.5790785,77.2307029,28.5790577,77.2316366,28.5791206,77.2356411,28.5791896,77.2356224,28.5796462,77.2340745,28.5795873,77.2340862,28.5795406,77.2321003,28.5795022,77.2311541,28.5794695,77.2300921,28.5794295,77.2300921,28.5794998,77.2296032,28.5795001,77.2292438,28.5795143,77.2288683,28.5795025,77.2288698,28.5794581,77.228871,28.5794224,77.2270256,28.579453,77.2250488,28.5795873,77.2250247,28.5792481",way/204969700,,bus_station,yes,Kushak Nallah Bus Depot,station,,,,,,,garages,,,,,,,,,,
28.6247279,77.1012031,,Polygon,"77.1012031,28.6247279,77.0981797,28.6237044,77.1022329,28.622548,77.1012031,28.6247279",way/258900789,,bus_station,yes,Hari Nagar DTC Depot,station,,,,Delhi Public Transport,DTC,,garages,,,,,,,,,,
28.6321034,77.2152218,,Polygon,"77.2152218,28.6321034,77.2157758,28.6320767,77.2158292,28.6329315,77.2152752,28.6329582,77.2152218,28.6321034",way/284192857,,bus_station,yes,Shivaji Stadium Bus Terminal,station,,,,Delhi Public Transport,Delhi Transport Corporation,,,yes,,,,,,,,,
28.6392203,77.2432462,,Polygon,"77.2432462,28.6392203,77.2442252,28.6391695,77.2442225,28.6395244,77.2432299,28.6396131,77.2432462,28.6392203",way/289960317,,bus_station,yes,Doctor Ambedkar Terminal (Dilli Gate),station,,wall,,,"Delhi Transport Corporation (DTC), Delhi Transit",,,,no,,,,,,,,
