latitude,longitude,altitude,geometry,coordinates,@id,alt_name,amenity,bus,name,public_transport,shelter,barrier,short_name,network,operator,building,landuse,wheelchair,internet_access,railway,addr:postcode,depot,addr:city,addr:housenumber,addr:street,name:en,source,toilets:wheelchair,name:hi,name:de,description
28.6697241,77.2312379,,Polygon,"77.2312379,28.6697241,77.2298272,28.6693074,77.2289492,28.6690897,77.2288537,28.668804,77.2292791,28.6678113,77.2298232,28.66795,77.2298942,28.6676548,77.2304176,28.6678088,77.2312139,28.6682197,77.231613,28.6684517,77.2319827,28.6685885,77.2316869,28.6694511,77.2312379,28.6697241",way/40943545,Kashmere Gate ISBT,bus_station,yes,Maharana Pratap ISBT,station,yes,,,,,,,,,,,,,,,,,,,,
28.6452228,77.3122859,,Polygon,"77.3122859,28.6452228,77.3127109,28.6448145,77.3160965,28.644967,77.3165219,28.6461989,77.3174375,28.6484411,77.3167491,28.6486213,77.3154595,28.6475851,77.3153672,28.647513,77.3149716,28.647206,77.3122859,28.6452228",way/52081141,,bus_station,yes,Anand Vihar Interstate Bus Terminal,station,,wall,Anand Vihar ISBT,,,,,,,,,,,,,,,,,,
28.6250811,77.0653388,,Polygon,"77.0653388,28.6250811,77.0655359,28.6251568,77.0661528,28.6253937,77.0662053,28.6254139,77.0661828,28.6254606,77.0660841,28.6256557,77.0658655,28.6255706,77.0655803,28.6261344,77.0649369,28.6258839,77.0652519,28.6252584,77.0653388,28.6250811",way/58472851,,bus_station,,Uttam Nagar Terminal,,,wall,,,,,,,,,,,,,,,,,,,
28.5981565,77.0643407,,Polygon,"77.0643407,28.5981565,77.0645202,28.5980403,77.064781,28.5978935,77.064991,28.5980855,77.065316,28.5978681,77.0660184,28.5985554,77.0651233,28.5995705,77.0649416,28.5993775,77.0648223,28.5994483,77.0642627,28.5988165,77.0643407,28.5981565",way/59035953,,bus_station,,DTC Bus Depot Sector 2,,,wall,,,,,,,,,,,,,,,,,,,
28.7070708,77.1768606,,Polygon,"77.1768606,28.7070708,77.177716,28.7065466,77.1784241,28.7072347,77.1778434,28.70798,77.1772628,28.707508,77.1768606,28.7070708",way/78175818,,bus_station,,Azadpur,,,,,,,,,,,,,,,,,,,,,,
28.7311879,77.122324,,Polygon,"77.122324,28.7311879,77.121459,28.7302161,77.122682,28.729379,77.123547,28.7303508,77.122324,28.7311879",way/78563279,,bus_station,,DTC Bus Depot,,,,,,,,,,,,,,,,,,,,,,
28.5840027,77.2584308,,Polygon,"77.2584308,28.5840027,77.2595589,28.5842901,77.2587745,28.5864321,77.2580583,28.5894221,77.2571902,28.5890822,77.2573837,28.587441,77.2578261,28.586436,77.2584308,28.5840027",way/80439683,,bus_station,yes,Sarai Kale Khan ISBT,station,,,,,,,,,,,,,,,,,,,,,
28.6854887,77.329553,,Polygon,"77.329553,28.6854887,77.3315132,28.6826541,77.331729,28.6828329,77.3317521,28.6829774,77.3308478,28.686125,77.329553,28.6854887",way/153965502,,bus_station,yes,Seemapuri Bus Depot,station,,,,Delhi Public Transport,Delhi Transport Corporation,,,,,,,,,,,,,,,,
28.5759145,77.0692407,,Polygon,"77.0692407,28.5759145,77.0701864,28.5752624,77.0712161,28.5764139,77.0702705,28.5770661,77.0692407,28.5759145",way/154161499,,bus_station,,Dwarka Bus Depot,,,wall,,,,,,,,,,,,,,,,,,,
28.615197,76.9769509,,Polygon,"76.9769509,28.615197,76.9771325,28.6151271,76.9772136,28.6150559,76.9773745,28.6149617,76.9775891,28.6148393,76.977878,28.6147016,76.9781877,28.6145635,76.9783197,28.6148374,76.9779539,28.6152255,76.9777393,28.6154044,76.9775789,28.615534,76.9775187,28.6155882,76.9774337,28.615682,76.9773348,28.6157432,76.9772127,28.6155764,76.9771524,28.6155137,76.977065,28.6154052,76.9769509,28.615197",way/165709049,,bus_station,,Najafgarh Main Bus Stand,,,,,,,,,,,,,,,,,,,,,,
