latitude,longitude,altitude,geometry,coordinates,@id,amenity,type,addr:city,addr:street,building,name,name:de,name:en,name:es,name:fa,name:hi,name:ru,name:zh,opening_hours,phone,religion,tourism,website,wikidata,wikipedia,access,addr:postcode,castle_type,height,historic,name:ar,name:he,name:ml,name:ta,old_name,barrier,denomination,krishna,alt_name,name:fr,name:it,name:pt,name:uk,start_date,source,building:levels,building:material,building:colour,historic:civilization,landuse,operator,area,building:height,min_height,fixme,leisure,man_made,note,material,addr:housename,natural,name:ur,place_of_worship,addr:country,heritage:operator,is_in:city,is_in:continent,is_in:country,is_in:country_code,is_in:iso_3166_2,name:az,name:bn,name:el,name:ja,name:ka,name:ko,name:th,ref:whc,whc:criteria,whc:inscription_date,wikipedia:en,addr:housenumber,addr:state,name:cs,name:id,name:vi,short_name:zh,int_name,description,name:be,name:gu,name:mr,name:ne,name:nl,name:sa,name:te,wheelchair,length,name:pa,width,cemetery,memorial,roof:shape,addr:suburb,service_times,tomb,bicycle,opening_hours:covid19,created_by,is_in,name:ca,url,wikimedia_commons,addr:place,addr:unit,level,addr:district,addr:subdistrict,inscription,addr:full
,,,Polygon,"77.2829732,28.5627515,77.2825425,28.5627541,77.2825395,28.5623736,77.2829702,28.562371,77.2829732,28.5627515,77.2829245,28.5627093,77.2829222,28.5624138,77.2826733,28.5624153,77.2826555,28.562438,77.2826561,28.5625134,77.2826741,28.5625133,77.2826748,28.5626028,77.2826568,28.5626029,77.2826574,28.562683,77.2826756,28.5627108,77.2829245,28.5627093",relation/2195707,place_of_worship,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.2328327,28.6511667,77.2328454,28.6509933,77.2328226,28.650992,77.2328727,28.6503093,77.2328955,28.6503106,77.2329087,28.650131,77.2334235,28.6501601,77.2334251,28.650139,77.2334892,28.6501426,77.2335756,28.6501475,77.2335741,28.6501686,77.234088,28.6501976,77.2340568,28.6506229,77.2341112,28.6506259,77.2341029,28.6507385,77.234095,28.6508466,77.2340406,28.6508436,77.234012,28.6512334,77.2334981,28.6512043,77.2334954,28.6512417,77.233413,28.651237,77.2333448,28.6512332,77.2333475,28.6511958,77.2328327,28.6511667,77.2329187,28.6511053,77.2333524,28.6511298,77.233354,28.6511077,77.2335046,28.6511162,77.2335029,28.6511383,77.233935,28.6511628,77.2339587,28.6508389,77.2339091,28.6508361,77.2339253,28.6506154,77.2339749,28.6506182,77.2340017,28.6502531,77.2335697,28.6502286,77.2335681,28.6502504,77.2334175,28.6502419,77.2334191,28.6502201,77.2329855,28.6501956,77.2329767,28.6503152,77.233103,28.6503223,77.2330529,28.6510051,77.2329266,28.6509979,77.2329187,28.6511053",relation/3926057,place_of_worship,multipolygon,Delhi,Meena Bazaar,yes,Jama Masjid,Freitagsmoschee,Jama Masjid,Jama Masjid,مسجد جامع دهلی,जामा मस्जिद,Мечеть Jama Masjid,贾玛清真寺,"Mo-Su 07:00-12:00, 13:30-18:30",+91 11 2336 5358,muslim,attraction,http://www.delhitourism.gov.in,Q233678,"en:Jama Masjid, Delhi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.2350674,28.5552038,77.2347372,28.5549764,77.2350316,28.5546467,77.2353617,28.554874,77.2350674,28.5552038,77.2350762,28.5548565,77.2351254,28.5548002,77.2350311,28.5547367,77.2349819,28.554793,77.2350762,28.5548565",relation/5242737,place_of_worship,multipolygon,,,yes,Sir Mahavir Mandir (Pahadi Wala Mandir),,,,,,,,,,hindu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.198745,28.6152646,77.1987274,28.6149497,77.1990096,28.6149376,77.1989463,28.613807,77.1986661,28.6138191,77.1986488,28.6135094,77.1991616,28.6134873,77.1991914,28.6140196,77.1997956,28.6139935,77.1997807,28.6137268,77.1997383,28.6137286,77.1997231,28.6134564,77.2003432,28.6134297,77.2003527,28.6135984,77.1999084,28.6136175,77.1999089,28.6140073,77.1999752,28.6150047,77.2004392,28.6149852,77.2004507,28.6151911,77.1997947,28.6152194,77.1997971,28.615263,77.1993829,28.6152809,77.1993805,28.6152373,77.198745,28.6152646,77.1997056,28.615084,77.1997117,28.615159,77.1998146,28.6151526,77.1998085,28.6150776,77.1997056,28.615084,77.1998723,28.6146871,77.1993115,28.6147212,77.1993099,28.6147401,77.1992992,28.6147561,77.1992738,28.6147685,77.1992468,28.6148083,77.199236,28.6148518,77.1992554,28.6149048,77.1992781,28.6149294,77.1993066,28.614952,77.1993193,28.6149842,77.199893,28.6149501,77.1998723,28.6146871,77.1988714,28.6151202,77.1989918,28.6151162,77.1989884,28.6150359,77.1988679,28.6150399,77.1988714,28.6151202,77.1990569,28.6151101,77.1991774,28.6151061,77.1991739,28.6150258,77.1990534,28.6150299,77.1990569,28.6151101,77.1996446,28.6151644,77.1996339,28.6150532,77.1994741,28.6150651,77.1994848,28.6151762,77.1996446,28.6151644,77.1992598,28.6142308,77.1991659,28.6142363,77.1991853,28.6144882,77.1992792,28.6144826,77.1992598,28.6142308",relation/5354966,,multipolygon,,Rajpath,yes,Rashtrapati Bhavan,,Rashtrapati Bhavan,,,राष्ट्रपति भवन,Президентский дворец,总统府,Mo-Fr 09:30-17:30,+91 11 2301 5321,,attraction,http://rashtrapatisachivalaya.gov.in/rbtour,Q677555,,permissive,110004,palace,27,castle,قصر راشتراباتي بهافان,רשטרפטי בהוון,രാഷ്ട്രപതി ഭവൻ,குடியரசுத் தலைவர் இல்லம்,Viceroy's Residence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.239272,28.6076817,77.2392654,28.6073011,77.2398397,28.6072934,77.2398463,28.607674,77.239272,28.6076817,77.2394075,28.6076271,77.2397618,28.6076223,77.2397574,28.6073714,77.2394032,28.6073761,77.2394075,28.6076271",relation/5492712,place_of_worship,multipolygon,,,yes,,,,,,,,,,,muslim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.1295455,28.6897426,77.1295452,28.6897526,77.1295436,28.6897617,77.1295378,28.6897685,77.129529,28.6897754,77.1295213,28.6897812,77.1295134,28.6897839,77.1295048,28.6897861,77.1294952,28.6897861,77.1294999,28.6898161,77.1291914,28.6898391,77.1291874,28.6898167,77.1291579,28.6898191,77.1291324,28.6897967,77.1291297,28.6897685,77.1291123,28.6897685,77.1290835,28.6895067,77.1291438,28.6895038,77.1291405,28.689452,77.1293148,28.6894403,77.1293188,28.689492,77.1293658,28.6894885,77.1293537,28.6893603,77.1293666,28.6893443,77.1293842,28.6893324,77.1294273,28.6893247,77.1294488,28.6893295,77.1294678,28.6893397,77.1294841,28.6893544,77.1294959,28.6894808,77.1295388,28.6894814,77.1295455,28.6895391,77.1294516,28.6895497,77.1294556,28.689572,77.1295173,28.6895779,77.1295374,28.6895955,77.1295401,28.6896414,77.129457,28.6896497,77.129461,28.689672,77.1295415,28.6896673,77.1295455,28.6897426,77.1293353,28.6895884,77.1293299,28.6895852,77.129326,28.6895806,77.1293239,28.6895752,77.1293238,28.6895695,77.1293258,28.689564,77.1293297,28.6895594,77.129335,28.6895561,77.1293729,28.6895528,77.1293179,28.6895211,77.1291603,28.6895328,77.1291851,28.6897599,77.1294305,28.6897446,77.1294218,28.6896134,77.1293943,28.6896152,77.1293916,28.6895858,77.1293353,28.6895884",relation/6496247,place_of_worship,multipolygon,,,,Gurudwara,,,,,,,,,,sikh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.2194863,28.5317267,77.219471,28.5317228,77.2194793,28.5317405,77.2194828,28.5317551,77.2194686,28.5317707,77.2194496,28.5317738,77.2194283,28.5317686,77.2194128,28.5317603,77.2194045,28.5317478,77.219401,28.5317321,77.2194022,28.5317134,77.219414,28.5316974,77.2194344,28.531686,77.2194531,28.5312051,77.2194344,28.531186,77.2194362,28.5311551,77.2194622,28.5311437,77.2194937,28.5311372,77.2195252,28.5311551,77.219527,28.5311828,77.2195178,28.5311974,77.219782,28.5312026,77.2200201,28.5312072,77.2200127,28.531186,77.2200201,28.5311697,77.2200442,28.5311583,77.2200702,28.53116,77.2200961,28.5311648,77.2201073,28.531186,77.220111,28.5312072,77.2200943,28.5312267,77.220072,28.5312381,77.2200535,28.5312316,77.2200468,28.5314784,77.2200405,28.5317121,77.2200683,28.5317153,77.220085,28.5317284,77.2200906,28.5317463,77.2200832,28.5317658,77.2200665,28.5317772,77.2200442,28.5317805,77.220022,28.531774,77.2200035,28.5317609,77.2200072,28.5317381,77.2197519,28.5317325,77.2194863,28.5317267,77.2197884,28.5316334,77.2198987,28.5316406,77.2199066,28.5315467,77.2197963,28.5315395,77.2197884,28.5316334,77.219812,28.5314279,77.2199115,28.5314341,77.2199191,28.5313395,77.2198196,28.5313333,77.219812,28.5314279,77.2195749,28.5314133,77.2196797,28.5314196,77.2196872,28.5313221,77.2195825,28.5313158,77.2195749,28.5314133,77.2195631,28.5316119,77.2196667,28.5316202,77.219676,28.5315298,77.2195725,28.5315215,77.2195631,28.5316119",relation/8291341,,multipolygon,,,yes,Khirki Masjid,,,,,,,,,,,attraction,,,"hi:खिड़की मस्जिद, दिल्ली",,,,,ruins,,,,,,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.2304565,28.6452167,77.230482,28.6449284,77.2308858,28.644956,77.2308756,28.6450718,77.2309401,28.6450762,77.2309351,28.6451328,77.23087,28.6451284,77.2308598,28.6452442,77.2304565,28.6452167,77.2306453,28.6451831,77.2308042,28.6451944,77.2308222,28.6449984,77.2306633,28.6449871,77.2306453,28.6451831",relation/11010294,place_of_worship,multipolygon,,,yes,,,,,,,,,,,muslim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.2541952,28.5558471,77.2541124,28.5559847,77.2540112,28.5559931,77.2540086,28.5560473,77.2539549,28.5560708,77.25392,28.5560567,77.2538181,28.5560732,77.2538128,28.5561203,77.2537583,28.5561346,77.2537178,28.5561085,77.2537028,28.5560708,77.2537269,28.5560379,77.2537036,28.5559755,77.2535761,28.5560029,77.2535405,28.5558943,77.2536675,28.555862,77.2536384,28.5557952,77.2536037,28.5557666,77.2536089,28.5557316,77.2536412,28.5557053,77.2536841,28.5556959,77.2537185,28.5557268,77.2537984,28.5557017,77.2538074,28.5556491,77.2538584,28.5556374,77.2539041,28.5556441,77.2539309,28.5556794,77.2540355,28.5556511,77.2541669,28.5557359,77.2541952,28.5558471",way/42360405,place_of_worship,,,,,Sri Sri Radha Parthasarathi Mandir,,,,,,,,,,hindu,,,,,,,,,,,,,,,,krishna,ISKCON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.2184504,28.5313528,77.2181072,28.5312985,77.2181415,28.5310422,77.218519,28.5311085,77.2184504,28.5313528",way/43316692,place_of_worship,,,,,Sai Baba Temple,,,,,,,,,,hindu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
