latitude,longitude,altitude,geometry,coordinates,@id,access,addr:postcode,addr:street,building,castle_type,height,historic,name,name:en,old_name,opening_hours,phone,tourism,type,website,wikidata,barrier,wikipedia,building:levels,alt_name,building:material,building:colour,historic:civilization,landuse,operator,area,building:height,min_height,amenity,religion,leisure,man_made,material,natural,name:de,name:uk,name:ur,start_date,denomination,place_of_worship,addr:city,addr:country,heritage:operator,is_in:city,is_in:continent,is_in:country,is_in:country_code,is_in:iso_3166_2,name:az,name:bn,name:el,name:es,name:ja,name:ka,name:ko,name:th,ref:whc,whc:criteria,whc:inscription_date,wikipedia:en,source,addr:housenumber,addr:state,name:cs,name:fa,name:id,name:vi,short_name:zh,description,name:be,name:fr,name:gu,name:it,name:mr,name:ne,name:nl,name:pt,name:sa,name:te,wheelchair,cemetery,memorial,roof:shape,tomb,bicycle,note,is_in,name:ca,url,wikimedia_commons,inscription
28.6152646,77.198745,,Polygon,"77.198745,28.6152646,77.1987274,28.6149497,77.1990096,28.6149376,77.1989463,28.613807,77.1986661,28.6138191,77.1986488,28.6135094,77.1991616,28.6134873,77.1991914,28.6140196,77.1997956,28.6139935,77.1997807,28.6137268,77.1997383,28.6137286,77.1997231,28.6134564,77.2003432,28.6134297,77.2003527,28.6135984,77.1999084,28.6136175,77.1999089,28.6140073,77.1999752,28.6150047,77.2004392,28.6149852,77.2004507,28.6151911,77.1997947,28.6152194,77.1997971,28.615263,77.1993829,28.6152809,77.1993805,28.6152373,77.198745,28.6152646,77.1997056,28.615084,77.1997117,28.615159,77.1998146,28.6151526,77.1998085,28.6150776,77.1997056,28.615084,77.1998723,28.6146871,77.1993115,28.6147212,77.1993099,28.6147401,77.1992992,28.6147561,77.1992738,28.6147685,77.1992468,28.6148083,77.199236,28.6148518,77.1992554,28.6149048,77.1992781,28.6149294,77.1993066,28.614952,77.1993193,28.6149842,77.199893,28.6149501,77.1998723,28.6146871,77.1988714,28.6151202,77.1989918,28.6151162,77.1989884,28.6150359,77.1988679,28.6150399,77.1988714,28.6151202,77.1990569,28.6151101,77.1991774,28.6151061,77.1991739,28.6150258,77.1990534,28.6150299,77.1990569,28.6151101,77.1996446,28.6151644,77.1996339,28.6150532,77.1994741,28.6150651,77.1994848,28.6151762,77.1996446,28.6151644,77.1992598,28.6142308,77.1991659,28.6142363,77.1991853,28.6144882,77.1992792,28.6144826,77.1992598,28.6142308",relation/5354966,permissive,110004,Rajpath,yes,palace,27,castle,Rashtrapati Bhavan,Rashtrapati Bhavan,Viceroy's Residence,Mo-Fr 09:30-17:30,+91 11 2301 5321,attraction,multipolygon,http://rashtrapatisachivalaya.gov.in/rbtour,Q677555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5317267,77.2194863,,Polygon,"77.2194863,28.5317267,77.219471,28.5317228,77.2194793,28.5317405,77.2194828,28.5317551,77.2194686,28.5317707,77.2194496,28.5317738,77.2194283,28.5317686,77.2194128,28.5317603,77.2194045,28.5317478,77.219401,28.5317321,77.2194022,28.5317134,77.219414,28.5316974,77.2194344,28.531686,77.2194531,28.5312051,77.2194344,28.531186,77.2194362,28.5311551,77.2194622,28.5311437,77.2194937,28.5311372,77.2195252,28.5311551,77.219527,28.5311828,77.2195178,28.5311974,77.219782,28.5312026,77.2200201,28.5312072,77.2200127,28.531186,77.2200201,28.5311697,77.2200442,28.5311583,77.2200702,28.53116,77.2200961,28.5311648,77.2201073,28.531186,77.220111,28.5312072,77.2200943,28.5312267,77.220072,28.5312381,77.2200535,28.5312316,77.2200468,28.5314784,77.2200405,28.5317121,77.2200683,28.5317153,77.220085,28.5317284,77.2200906,28.5317463,77.2200832,28.5317658,77.2200665,28.5317772,77.2200442,28.5317805,77.220022,28.531774,77.2200035,28.5317609,77.2200072,28.5317381,77.2197519,28.5317325,77.2194863,28.5317267,77.2197884,28.5316334,77.2198987,28.5316406,77.2199066,28.5315467,77.2197963,28.5315395,77.2197884,28.5316334,77.219812,28.5314279,77.2199115,28.5314341,77.2199191,28.5313395,77.2198196,28.5313333,77.219812,28.5314279,77.2195749,28.5314133,77.2196797,28.5314196,77.2196872,28.5313221,77.2195825,28.5313158,77.2195749,28.5314133,77.2195631,28.5316119,77.2196667,28.5316202,77.219676,28.5315298,77.2195725,28.5315215,77.2195631,28.5316119",relation/8291341,,,,yes,,,ruins,Khirki Masjid,,,,,attraction,multipolygon,,,wall,"hi:खिड़की मस्जिद, दिल्ली",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6592819,77.2421169,,Polygon,"77.2421169,28.6592819,77.2421041,28.6590812,77.2420043,28.6590861,77.2419924,28.6588981,77.2420922,28.6588932,77.2420789,28.6586964,77.2422513,28.658688,77.2422665,28.6589152,77.242334,28.6589119,77.2423415,28.6590302,77.242274,28.6590336,77.2422893,28.6592735,77.2421169,28.6592819",way/80429788,,,,yes,,,yes,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6559661,77.2421705,,Polygon,"77.2421705,28.6559661,77.242158,28.65574,77.2421442,28.6554885,77.2423708,28.6554789,77.2423781,28.655613,77.2424855,28.6556084,77.2424928,28.6557254,77.242496,28.6557994,77.2423883,28.655804,77.2423966,28.6559566,77.2421705,28.6559661",way/80429794,,,,yes,,12,monument,Diwan-i-Aam,,,,,,,,Q16829863,,en:Diwan-i-Am (Red Fort),,Hall of public audience,redstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6546582,77.2432932,,Polygon,"77.2432932,28.6546582,77.2432785,28.6543998,77.2435521,28.6543896,77.2435667,28.6546479,77.2432932,28.6546582",way/80429815,,,,yes,,,monument,Mumtaz Mahal,,Chhota Rang Mahal (small coloured palace),,,,,,Q16895550,,en:Mumtaz Mahal (Red Fort),,,marble,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6563407,77.2434592,,Polygon,"77.2434592,28.6563407,77.2436789,28.6563337,77.2436937,28.6566024,77.243474,28.6566094,77.2434592,28.6563407",way/80429830,,,,yes,,,yes,Diwan-e-Khaas,,,,,,,,Q16829867,,,,Divan-i-Khas,marble,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.656891,77.2419424,,Polygon,"77.2419424,28.656891,77.2419296,28.6566903,77.2418298,28.6566952,77.2418179,28.6565071,77.2419177,28.6565023,77.2419044,28.6563102,77.2420768,28.6563017,77.242092,28.6565242,77.2421595,28.6565209,77.242167,28.6566393,77.2420995,28.6566426,77.2421148,28.6568826,77.2419424,28.656891",way/80429844,,,,yes,,,yes,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6560506,77.2434515,,Polygon,"77.2434515,28.6560506,77.2436594,28.6560414,77.2436614,28.6560773,77.2437003,28.6560749,77.2437391,28.656099,77.2437412,28.6561449,77.2437056,28.6561744,77.2436667,28.6561755,77.2436683,28.6562137,77.2434605,28.6562228,77.2434515,28.6560506",way/80429887,,,,yes,,,monument,Khas Mahal,,,,,,,,Q16852143,,,,,marble,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6584871,77.2420579,,Polygon,"77.2420579,28.6584871,77.2420451,28.6582864,77.2419453,28.6582913,77.2419334,28.6581032,77.2420332,28.6580983,77.2420199,28.6578898,77.2421923,28.6578813,77.2422075,28.6581203,77.242275,28.658117,77.2422825,28.6582354,77.242215,28.6582387,77.2422303,28.6584787,77.2420579,28.6584871",way/80429889,,,,yes,,,yes,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6576801,77.2419995,,Polygon,"77.2419995,28.6576801,77.2419859,28.6574784,77.2418833,28.6574837,77.2418712,28.6573028,77.2419724,28.6572976,77.2419584,28.6570989,77.2421312,28.65709,77.2421479,28.6573303,77.2422305,28.657326,77.2422372,28.6574256,77.2421573,28.6574297,77.2421735,28.6576711,77.2419995,28.6576801",way/80429891,,,,yes,,,yes,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
