latitude,longitude,altitude,geometry,coordinates,@id,addr:city,addr:housenumber,addr:postcode,air_conditioning,building,name,network,operator,phone,public_transport,railway,station,subway,website,wheelchair,wikidata,wikipedia,name:kn,elevation,layer,level,name:ar,building:levels,addr:street,internet_access:fee,internet_access,name:ur,payment:cards,payment:cash,payment:coins,payment:contactless,payment:electronic_purses,ref,alt_name,construction,disused,public_transport:version,train,colour,toilets:wheelchair,departures_board,shelter,type,short_name,name:fa,comment,old_name,line
28.6675628,77.2272886,,Polygon,"77.2272886,28.6675628,77.2272756,28.667279,77.2274309,28.6672759,77.2282935,28.6672629,77.2285432,28.6672726,77.2289205,28.6672874,77.2291742,28.6673331,77.2293266,28.6673518,77.2294093,28.667367,77.229463,28.667376,77.2295573,28.6673833,77.2295241,28.6675973,77.2295771,28.6676261,77.2297437,28.6676647,77.2296933,28.6677731,77.2296436,28.6677605,77.2295388,28.6677374,77.2294892,28.6676608,77.229352,28.6676374,77.2292622,28.6676247,77.22916,28.6676159,77.2290148,28.667592,77.2288725,28.6675789,77.2288405,28.6676737,77.2286641,28.6679275,77.2285629,28.6678613,77.2286805,28.6676795,77.2284814,28.6676866,77.2284763,28.6675471,77.2283935,28.6676648,77.2283283,28.6677873,77.228255,28.6677922,77.2281279,28.6679876,77.2278829,28.6678773,77.2277832,28.6677371,77.2278974,28.6676538,77.2277366,28.6676491,77.2277419,28.6675426,77.2273688,28.6675592,77.2272886,28.6675628",way/80431079,"Inter State Bus Terminal, Kashmere Gate, Old Delhi, Delhi",Kashmere Gate Metro Station,110006,yes,yes,Kashmere Gate,Delhi Metro,DMRC,088007 93129,station,station,subway,yes,www.delhimetrorail.com,yes,Q4207344,en:Kashmere Gate metro station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6234613,77.2688238,,Polygon,"77.2688238,28.6234613,77.2688172,28.623476,77.2687973,28.6235202,77.268792,28.6235319,77.2687866,28.6235441,77.2687684,28.6235846,77.2687631,28.6235963,77.2687564,28.6236113,77.2687297,28.6236705,77.2687236,28.6236841,77.2670243,28.6230955,77.2670303,28.6230822,77.2670571,28.6230227,77.2670638,28.6230077,77.2670684,28.6229974,77.2670882,28.6229534,77.2670934,28.6229419,77.2670987,28.6229302,77.2671185,28.622886,77.2671245,28.6228727,77.2676687,28.6230612,77.2688238,28.6234613",way/139071689,,,,,train_station,Yamuna Bank (Blue Line),DMRC,Delhi Metro Rail Corporation,,station,station,subway,yes,,,Q12525001,en:Yamuna Bank metro station,ಯಮುನಾ ಬ್ಯಾಂಕ್,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5707921,77.2367732,,Polygon,"77.2367732,28.5707921,77.2367123,28.5708193,77.236871,28.5710937,77.2367077,28.5711665,77.236546,28.570887,77.2365197,28.5708987,77.2362895,28.5705159,77.236187,28.5703238,77.2362577,28.5702922,77.2360974,28.5700152,77.2362579,28.5699435,77.2364174,28.5702191,77.2364549,28.5702023,77.2365027,28.570285,77.23677,28.5701657,77.2368046,28.5702255,77.2365636,28.5703331,77.2366367,28.5704596,77.2367691,28.5706884,77.2367247,28.5707082,77.2367732,28.5707921",way/169413730,,Lajpat Nagar Metro Station,,yes,yes,Lajpat Nagar Metro Station,Delhi Metro,DMRC,,station,station,subway,yes,,,Q6474492,en:Lajpat Nagar metro station,,1,1,1,محطة مترو لاجبت نغر,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6237295,77.242465,,Polygon,"77.242465,28.6237295,77.2424066,28.6236804,77.2420081,28.6240456,77.2418861,28.623943,77.2419492,28.6238852,77.2422866,28.623576,77.2422196,28.6235196,77.2427643,28.6230204,77.2428103,28.6230591,77.2431551,28.622743,77.2432709,28.6228404,77.2429237,28.6231586,77.2429458,28.6231772,77.2430094,28.6232307,77.242465,28.6237295",way/351561046,,Pragati Maidan Metro Station,,,yes,Pragati Maidan Metro Station,Delhi Metro,DMRC,,station,station,subway,yes,,,Q7237614,en:Pragati Maidan metro station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.667296,77.2163638,,Polygon,"77.2163638,28.667296,77.216356,28.6672529,77.2163504,28.6672536,77.2156503,28.6673737,77.2156401,28.6673259,77.2156319,28.6672869,77.2156128,28.6671972,77.2163216,28.6670637,77.2163155,28.6670301,77.21662,28.6669701,77.216919,28.6669383,77.2169233,28.6669723,77.2176244,28.6669006,77.2176486,28.6670913,77.2169485,28.6671733,77.2169539,28.667216,77.2168198,28.6672372,77.2167876,28.6672489,77.2167286,28.6672866,77.2166454,28.6673007,77.2165811,28.667296,77.2165006,28.6672748,77.2163638,28.667296",way/464265890,,Tis Hazari Metro Station,,yes,yes,Tis Hazari Metro Station,Delhi Metro,DMRC,,station,station,subway,yes,www.delhimetrorail.com,yes,Q3632416,en:Tis Hazari metro station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6186755,77.2789897,,Polygon,"77.2789897,28.6186755,77.2788365,28.6185886,77.2790698,28.6182719,77.2790078,28.6182367,77.2795182,28.6175437,77.2795727,28.6175746,77.2798556,28.6171905,77.2800115,28.6172789,77.2798652,28.6174776,77.2797368,28.6176519,77.2797939,28.6176843,77.2795616,28.6179996,77.2794723,28.6181209,77.2792747,28.6183892,77.2792224,28.6183595,77.2791867,28.618408,77.2789897,28.6186755",way/504034446,,,,,yes,Akshardham Metro Station,Delhi Metro,Delhi Metro Rail Corporation,,,station,subway,yes,,,Q4701799,,ಅಕ್ಷರದಾಮ್,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
28.4938923,77.3029596,,Polygon,"77.3029596,28.4938923,77.3027967,28.4938601,77.3028573,28.4936231,77.3027811,28.4936081,77.3029765,28.4928436,77.3030377,28.4928557,77.3030971,28.4926235,77.3032773,28.492659,77.3032142,28.4929057,77.3032794,28.4929185,77.3030866,28.493673,77.3030191,28.4936597,77.3029596,28.4938923",way/581226084,"Badarpur, New Delhi, Delhi",Badarpur Metro Station,110044,yes,train_station,Badarpur Metro Station,Delhi Metro,DMRC,,station,station,subway,yes,,,Q4840629,en:Badarpur Border metro station,,2,2,,,,Mathura Road,,,,,,,,,,,,,,,,,,,,,,,,
28.6959708,77.1521516,,Polygon,"77.1521516,28.6959708,77.1521899,28.695897,77.1517803,28.695691,77.1518839,28.6955361,77.152284,28.6957642,77.1523147,28.6957163,77.1531327,28.6961327,77.1530892,28.696178,77.1535289,28.6963916,77.1534183,28.696524,77.1530164,28.6963181,77.1529691,28.6963962,77.1521516,28.6959708",way/637896290,,,,yes,yes,Netaji Subhash Place (Red Line),Delhi Metro,DMRC,,station,station,subway,yes,,yes,Q6998648,en:Netaji Subhash Place metro station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6818908,77.1648176,,Polygon,"77.1648176,28.6818908,77.1648758,28.6819119,77.1648898,28.681917,77.1650642,28.6815479,77.1652135,28.6816037,77.1652396,28.6816134,77.1650709,28.6819632,77.16511,28.6819967,77.1647033,28.6828635,77.1646454,28.6828417,77.1644796,28.6832014,77.1644366,28.6831857,77.1643013,28.6831364,77.1644854,28.6827839,77.1644636,28.6827739,77.1644274,28.6827572,77.1648176,28.6818908",way/637896293,,Kanhiya Nagar Metro Station,,yes,yes,Kanhiya Nagar Metro Station,Delhi Metro,DMRC,,station,station,subway,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6701579,77.1815046,,Polygon,"77.1815046,28.6701579,77.1815026,28.6701264,77.1809628,28.6701964,77.1809456,28.6700954,77.1809305,28.6700071,77.181475,28.6699426,77.1814689,28.6699021,77.1822305,28.6698173,77.1822352,28.6698703,77.1826169,28.6698517,77.1827053,28.6698474,77.1827831,28.6698437,77.1827909,28.6699181,77.1828022,28.6700268,77.182256,28.6700517,77.1822555,28.6700966,77.1815046,28.6701579",way/637896298,,,,yes,yes,Shastri Nagar Metro Station,Delhi Metro,DMRC,,station,station,subway,yes,www.delhimetrorail.com,yes,Q11307659,en:Shastri Nagar metro station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
