latitude,longitude,altitude,geometry,coordinates,@id,barrier,leisure,type,admin_level,boundary,name,wikidata,description,access,operator,layer,name:zh,old_name,addr:city,addr:postcode,addr:street,opening_hours,name:en,name:fa,name:es,wikipedia,addr:housenumber,natural,name:hi,name:de,name:ur,tourism,historic,int_name,designation,place,is_in,landuse,source,surface,man_made,opening_hours:covid19,religion,website,note,grass,grassland,amenity,building,addr:suburb,addr:neighbourhood,playground,water,fountain,addr:block,addr:city:en,alt_name,alt_name:hi,dog,addr:place,smoking,source:boundary,residential
,,,Polygon,"76.9890335,28.6199109,76.9889298,28.6199057,76.9884533,28.6193533,76.9901418,28.6193127,76.9900848,28.6187532,76.9902415,28.6187452,76.9907176,28.6187185,76.9907124,28.619775,76.9907105,28.6198598,76.9890335,28.6199109",relation/3717498,wall,park,boundary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.2605604,28.5599359,77.2616181,28.558698,77.2609477,28.5579689,77.2596001,28.5558618,77.2588752,28.5551323,77.2575474,28.5559097,77.2569603,28.5565134,77.2568707,28.5566055,77.2555672,28.5551022,77.2556132,28.5547423,77.2550184,28.5545221,77.2538407,28.5553758,77.2532953,28.555165,77.2527406,28.5561465,77.2524074,28.5556457,77.2520678,28.5555184,77.2520646,28.5552955,77.2517438,28.5552958,77.2515564,28.555296,77.2515868,28.5541686,77.251165,28.5541219,77.2506222,28.5540618,77.2507234,28.5532568,77.2504967,28.5530888,77.2490728,28.5520338,77.2488184,28.5538493,77.2481338,28.5537743,77.2481385,28.5534367,77.2470523,28.5522034,77.2472969,28.5519624,77.2477361,28.5515296,77.248317,28.5503364,77.2496429,28.550816,77.25087,28.5512999,77.2509104,28.5517421,77.251071,28.5517319,77.2523642,28.5517527,77.2525271,28.5512339,77.2542565,28.5518176,77.2553095,28.5521934,77.2555596,28.5522538,77.2556527,28.5522415,77.2567708,28.5520944,77.2573541,28.5520177,77.2578168,28.5517211,77.2581232,28.5515673,77.2585245,28.5516344,77.2586047,28.5516936,77.2586985,28.5519023,77.2582898,28.5524014,77.2573569,28.5535407,77.2593818,28.554768,77.2613444,28.5559575,77.2624197,28.5543176,77.2620746,28.5541421,77.2625001,28.5535665,77.2628628,28.5537752,77.263413,28.5539344,77.2639695,28.55422,77.2639445,28.5545056,77.2635631,28.554588,77.2636131,28.5554173,77.2642321,28.5558787,77.2647432,28.555299,77.26522,28.5547583,77.2653115,28.554881,77.2653245,28.5550459,77.2650958,28.5554306,77.2650231,28.5556114,77.2650074,28.5557468,77.2641633,28.5566146,77.2609995,28.5602118,77.2605604,28.5599359",relation/3728073,,park,boundary,10,administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.2931284,28.6139891,77.2938079,28.6137133,77.2941509,28.6136199,77.2947123,28.6135187,77.2960119,28.6132845,77.2967408,28.6131778,77.2977446,28.6129521,77.2979904,28.612953,77.2986164,28.6131044,77.2986794,28.6131196,77.2991689,28.6133128,77.299589,28.6134552,77.299925,28.6135443,77.3002842,28.6135621,77.3006955,28.6135519,77.3011474,28.6134324,77.3017615,28.6132823,77.3023293,28.6131145,77.3029275,28.6129827,77.3034448,28.6129515,77.3037993,28.6129301,77.3051881,28.6128941,77.307007,28.6127719,77.3076502,28.6127755,77.3078544,28.6128196,77.3072954,28.6139805,77.3081143,28.6149778,77.3089213,28.6159937,77.3087568,28.6164008,77.3083598,28.6174054,77.305598,28.6166356,77.3054123,28.617116,77.3052482,28.6170589,77.3051581,28.6172432,77.3041387,28.6169395,77.3043617,28.6164541,77.3040586,28.6163912,77.3032185,28.6162168,77.3022791,28.6161697,77.3022022,28.6160477,77.3015991,28.6161541,77.3013449,28.6162346,77.3007935,28.6155222,77.3005836,28.6155352,77.3003234,28.6151069,77.2991123,28.6156532,77.298727,28.6150589,77.2986788,28.615082,77.2977484,28.6155287,77.2978696,28.6149266,77.2977011,28.6148643,77.2974439,28.6148461,77.2971453,28.6149188,77.2944875,28.6162372,77.2943299,28.6159809,77.293862,28.6162223,77.2939477,28.6163417,77.2937319,28.6164481,77.293658,28.6163287,77.2935663,28.6163728,77.2934493,28.6162113,77.2926704,28.6165938,77.2925786,28.6166389,77.2926852,28.6167747,77.2928985,28.6166701,77.2930845,28.6169234,77.2927563,28.6170702,77.292727,28.6170371,77.2924908,28.6171564,77.2925933,28.6174244,77.2924281,28.6178758,77.2930103,28.6179312,77.2937593,28.6181193,77.2948242,28.618433,77.2947752,28.61856,77.2947727,28.6185747,77.2950396,28.6186527,77.2950932,28.6185021,77.2960008,28.6187933,77.2958168,28.6192852,77.2978643,28.6198256,77.300002,28.6203899,77.2997187,28.6209275,77.2974541,28.620232,77.2937364,28.6190124,77.2919132,28.6183713,77.2907249,28.6179455,77.2901939,28.6177644,77.2895607,28.6175817,77.2893949,28.6175236,77.2891681,28.6173713,77.2890223,28.6173163,77.2888594,28.6172121,77.2883649,28.6169743,77.2879353,28.6168009,77.2891477,28.6148244,77.2892475,28.6148285,77.2894973,28.6148388,77.2898803,28.6148435,77.2900166,28.6148238,77.2901246,28.6148025,77.2902055,28.6147692,77.2904003,28.6146892,77.2906961,28.6145168,77.2912347,28.6143813,77.2915593,28.6142889,77.2919004,28.6142238,77.2919786,28.6142084,77.2924051,28.6141424,77.2927539,28.6140956,77.2931284,28.6139891",relation/3803950,,park,boundary,10,administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.2017617,28.5481909,77.2009679,28.5485056,77.2008772,28.5484003,77.200829,28.5482752,77.2008283,28.5481431,77.2008752,28.5480176,77.2009648,28.5479115,77.2010879,28.5478358,77.201232,28.5477981,77.2013823,28.5478023,77.2015234,28.547848,77.2016462,28.5479359,77.2017288,28.5480547,77.2017617,28.5481909",relation/5329282,,park,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.1952055,28.5549219,77.1952599,28.5550121,77.1955564,28.5550742,77.1956296,28.554924,77.195919,28.5548739,77.2000627,28.5537441,77.20071,28.556104,77.2010885,28.5572195,77.2009908,28.5573912,77.2008321,28.5578738,77.2002703,28.5579918,77.1971073,28.558614,77.1940176,28.5587641,77.1912504,28.5596396,77.1904365,28.5581779,77.1897526,28.5583152,77.1892641,28.5572597,77.1886486,28.557397,77.1886166,28.5573234,77.1875641,28.5548998,77.1923709,28.5533723,77.1935169,28.5531219,77.1938438,28.5542043,77.1942263,28.5551894,77.194482,28.5550986,77.1945323,28.5552205,77.1950257,28.5551061,77.1951041,28.5549374,77.1952055,28.5549219",relation/6013399,,park,multipolygon,,,Deer Park,Q5250803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.1627974,28.5864263,77.1627254,28.586342,77.1626534,28.5862872,77.1626054,28.586245,77.1627878,28.5860469,77.1629607,28.5861396,77.1630039,28.5861818,77.1630416,28.5862117,77.1630327,28.5863799,77.1632584,28.5865739,77.16334,28.5866793,77.1630903,28.5867847,77.1629175,28.5868437,77.1627542,28.5868268,77.1626438,28.5869196,77.1625958,28.5869449,77.1625526,28.5868901,77.1624902,28.5867299,77.1624566,28.5866961,77.1625478,28.5865992,77.1626966,28.5865317,77.1627974,28.5864263",relation/6314365,,park,multipolygon,,,play ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.2535657,28.5339536,77.2515445,28.5339721,77.2515739,28.5335699,77.2512743,28.5335193,77.2512271,28.5337705,77.2502963,28.533419,77.2502609,28.5335589,77.2503081,28.5339297,77.2500273,28.5340195,77.2498438,28.5336169,77.2494486,28.5332914,77.2490285,28.5327635,77.2484652,28.5318351,77.2479181,28.5316937,77.2479341,28.5314675,77.2479244,28.5311271,77.2481719,28.5312719,77.2488521,28.5316696,77.2486804,28.5319712,77.2495156,28.5324181,77.2497285,28.5320962,77.2495156,28.5319831,77.2496443,28.5318266,77.2495456,28.5316513,77.2496492,28.531476,77.2505418,28.5318002,77.2508439,28.5315888,77.2509923,28.5317254,77.2502173,28.5322127,77.2510754,28.5330629,77.2518431,28.5335787,77.2535657,28.5339536",relation/6921541,,park,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.1167435,28.6310897,77.1167685,28.6311022,77.1167873,28.6311214,77.1167977,28.631145,77.1167985,28.6311703,77.1167895,28.6311944,77.1167117,28.6311839,77.1166704,28.6311847,77.1166448,28.631202,77.1166335,28.6311815,77.1166297,28.631159,77.1166339,28.6311365,77.1166456,28.6311162,77.1166638,28.6311,77.1166867,28.6310893,77.1167151,28.6310852,77.1167435,28.6310897",relation/7399891,,park,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.1252611,28.7060119,77.1241798,28.7048199,77.1249213,28.7043398,77.125957,28.7055365,77.1252611,28.7060119",relation/8249578,,park,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.2016761,28.5284417,77.201902,28.5288803,77.1983367,28.5306474,77.1975964,28.5309443,77.1961534,28.5312648,77.1961427,28.5310715,77.1969742,28.5308524,77.1972558,28.5308029,77.1976152,28.5307181,77.19809,28.5305673,77.1983609,28.5303834,77.1987525,28.5297566,77.1989992,28.5295422,77.1993828,28.5293537,77.1997422,28.5292146,77.2002625,28.5289849,77.2007494,28.5286538,77.2008567,28.5285524,77.2012281,28.5283698,77.2012684,28.5284028,77.2013435,28.5283663,77.2013274,28.5283262,77.2015071,28.5283003,77.2016761,28.5284417",relation/8801602,,park,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
