latitude,longitude,altitude,geometry,coordinates,@id,area,public_transport,railway,ref,name,train,amenity,barrier,surface,departures_board,subway,lit,shelter,layer,level,tactile_paving,to,network,operator
28.6434661,77.2201673,,Polygon,"77.2201673,28.6434661,77.2201161,28.6438099,77.2200761,28.6441678,77.2199443,28.6441604,77.2200047,28.6437905,77.2200684,28.643449,77.220219,28.6424732,77.2204984,28.6406579,77.2206215,28.6398834,77.2206912,28.6394814,77.220764,28.6392018,77.2208533,28.638915,77.2208928,28.6389237,77.2208109,28.6394043,77.2206379,28.640675,77.2203297,28.6424877,77.2201673,28.6434661",way/34940731,yes,platform,platform,6;7,,,,,,,,,,,,,,,
28.6443122,77.2195941,,Polygon,"77.2195941,28.6443122,77.2197032,28.6437414,77.2197749,28.6434179,77.2199748,28.6424186,77.2200674,28.641983,77.2202772,28.6408697,77.220311,28.640873,77.2201564,28.6419962,77.2200901,28.6424391,77.2199286,28.643442,77.2198707,28.6437607,77.2197884,28.6443456,77.21974,28.6445746,77.219678,28.6448046,77.2194063,28.6456282,77.2192342,28.6461154,77.219209,28.646107,77.2193163,28.645615,77.2195941,28.6443122",way/34940733,yes,platform,platform,4;5,5-Apr,,,,,,,,,,,,,,
28.6437598,77.2203812,,Polygon,"77.2203812,28.6437598,77.2203151,28.6439638,77.2202565,28.643959,77.2203038,28.6437503,77.2203934,28.6431546,77.2205011,28.6425239,77.2205697,28.6420664,77.2207102,28.6411571,77.2207814,28.6406958,77.2209625,28.6394219,77.2210479,28.6389706,77.2210975,28.6387925,77.2211302,28.6387976,77.221098,28.6389826,77.2210433,28.6395729,77.2208689,28.6407065,77.2207972,28.6411667,77.2206559,28.6420819,77.2205868,28.6425365,77.2204872,28.6431654,77.2203812,28.6437598",way/34940743,yes,platform,platform,8;9,9-Aug,,,,,,,,,,,,,,
28.6389926,77.2213584,,Polygon,"77.2213584,28.6389926,77.2213733,28.6393881,77.2213767,28.6399515,77.2213583,28.64036,77.2213219,28.6406473,77.2212999,28.6407779,77.2212233,28.6412327,77.2210707,28.6421436,77.2209936,28.6425945,77.2209017,28.643159,77.2208376,28.6434482,77.2207665,28.6437221,77.2206991,28.6437122,77.2207627,28.6434463,77.2208134,28.6431499,77.2208987,28.6425831,77.220972,28.6421301,77.2211139,28.6412188,77.2211852,28.6407611,77.2212,28.6406362,77.2212317,28.6403144,77.2212526,28.6399809,77.2212663,28.639363,77.2212817,28.6390467,77.2213065,28.6388005,77.2213606,28.6388016,77.2213584,28.6389926",way/34940744,yes,platform,platform,12,13-Dec,,,,,,,,,,,,,,
28.6394758,77.2211486,,Polygon,"77.2211486,28.6394758,77.2211747,28.6394774,77.2211223,28.6403022,77.2210706,28.6407366,77.2210079,28.6411938,77.220875,28.6421176,77.2207957,28.6425706,77.220645,28.6435286,77.2206015,28.6437821,77.2204947,28.6437663,77.2205356,28.6435127,77.2206879,28.6425557,77.2207605,28.6421018,77.2209032,28.6411813,77.2209724,28.6407198,77.2211486,28.6394758",way/34940745,yes,platform,platform,10;11,11-Oct,,,,,,,,,,,,,,
28.5607739,77.2641885,,Polygon,"77.2641885,28.5607739,77.2641393,28.5607355,77.2673839,28.557159,77.2679099,28.5565414,77.2679742,28.5565868,77.2678551,28.5567358,77.2666975,28.5580025,77.2641885,28.5607739",way/77340555,yes,,platform,,,,,,,,,,,,,,,,
28.5791534,77.2428559,,Polygon,"77.2428559,28.5791534,77.2451403,28.5791814,77.2451374,28.5792138,77.2428475,28.5791839,77.2428559,28.5791534",way/77340557,yes,,platform,,,,,,,,,,,,,,,,
28.5789088,77.2451244,,Polygon,"77.2451244,28.5789088,77.2429196,28.5788564,77.2429224,28.5788296,77.244355,28.5788675,77.2451254,28.5788879,77.2451244,28.5789088",way/77340559,yes,,platform,,,,,,,,,,,,,,,,
28.5790087,77.2451233,,Polygon,"77.2451233,28.5790087,77.245122,28.5790628,77.2428407,28.5790299,77.2428429,28.5789702,77.2451233,28.5790087",way/77340562,yes,,platform,,,,,,,,,,,,,,,,
28.6433626,77.2211951,,Polygon,"77.2211951,28.6433626,77.2212619,28.6431796,77.2213076,28.6430432,77.2213842,28.6427701,77.2214072,28.6426433,77.2214816,28.6422041,77.2216382,28.6412944,77.221715,28.6408392,77.2217458,28.6406563,77.2217745,28.6403747,77.2217706,28.63935,77.2217819,28.6386514,77.2218076,28.6382528,77.2219288,28.6382556,77.2219044,28.6388928,77.2219095,28.6395202,77.2219231,28.6403642,77.2218911,28.6406544,77.2218823,28.6407347,77.2218142,28.6410678,77.2217535,28.6411174,77.2214851,28.6426648,77.2215405,28.6426849,77.2214341,28.6432085,77.2213756,28.6434845,77.2211541,28.6434518,77.2211951,28.6433626",way/77366959,yes,platform,platform,,16,,,,,,,,,,,,,,
28.6430588,77.2210787,,Polygon,"77.2210787,28.6430588,77.2211344,28.6427453,77.2211545,28.6426129,77.2212314,28.6421732,77.2213831,28.6412605,77.2214598,28.6408024,77.2214864,28.6406435,77.2215237,28.6403592,77.2215128,28.6387394,77.2215393,28.638471,77.2215874,28.6381995,77.2216846,28.6378754,77.2217447,28.6378809,77.2217057,28.6381229,77.2216622,28.6386409,77.2216546,28.6394175,77.2216469,28.6403622,77.2216201,28.6406396,77.2215894,28.6408218,77.2215126,28.6412771,77.2213589,28.642195,77.2212822,28.6426305,77.2212631,28.6427562,77.2211834,28.6430709,77.2211314,28.643065,77.2210787,28.6430588",way/77366977,yes,platform,platform,,14-15,,,,,,,,,,,,,,
28.6625254,77.2254565,,Polygon,"77.2254565,28.6625254,77.2270004,28.6624631,77.2273288,28.6624498,77.2284724,28.6624036,77.2285183,28.6623994,77.2289012,28.6623805,77.2299724,28.6623276,77.2299755,28.6623602,77.2299153,28.6624036,77.2290582,28.6624638,77.2284771,28.6624918,77.2254612,28.6626137,77.2254565,28.6625254",way/77614267,,,platform,,,,,,,,,,,,,,,,
28.6617652,77.224782,,Polygon,"77.224782,28.6617652,77.224261,28.6617441,77.223971,28.6617187,77.2242596,28.6616957,77.2247801,28.6616739,77.2269496,28.6615696,77.2272964,28.661553,77.2285097,28.6614947,77.2288093,28.6614803,77.2310061,28.6613747,77.2312729,28.66136,77.2316134,28.661361,77.2312842,28.6614324,77.2310132,28.6614724,77.2288103,28.6615759,77.2285107,28.66159,77.227302,28.6616468,77.2269607,28.6616628,77.224782,28.6617652",way/77614268,yes,platform,platform,,,yes,,,,,,,,,,,,,
28.6609372,77.2269253,,Polygon,"77.2269253,28.6609372,77.2254899,28.6609898,77.2251082,28.6610022,77.2248692,28.6610184,77.2246006,28.6610605,77.2227061,28.6614654,77.2221631,28.6615815,77.2218548,28.6616622,77.2215791,28.6617639,77.2209484,28.6621141,77.2209336,28.6620857,77.2215597,28.6617265,77.2218426,28.6616198,77.2221592,28.6615205,77.2226925,28.6614001,77.2247126,28.6609818,77.2249763,28.6609406,77.2257227,28.6609131,77.226277,28.6609171,77.2269253,28.6608893,77.2269253,28.6609372",way/77614274,yes,platform,platform,1,,yes,,,,,,,,,,,,,
28.6612549,77.2316277,,Polygon,"77.2316277,28.6612549,77.2288054,28.6613951,77.2285176,28.6614094,77.2272885,28.6614705,77.2269463,28.6614875,77.2245393,28.6616071,77.2243244,28.6616182,77.2243202,28.6615264,77.2245351,28.6615178,77.2269425,28.6613998,77.2272851,28.661383,77.2285131,28.6613229,77.2287998,28.6613088,77.2316207,28.6611706,77.2316277,28.6612549",way/77614280,yes,platform,platform,,,yes,,,,,,,,,,,,,
