latitude,longitude,altitude,geometry,coordinates,@id,amenity,building,type,name,shop,brand,brand:wikidata,cuisine,takeaway,website,addr:city,addr:housenumber,addr:postcode,addr:street,air_conditioning,bar,opening_hours,phone,smoking,wikidata,wikipedia,internet_access,alt_name,capacity,note,landuse,addr:suburb,outdoor_seating,addr:unit,delivery,wheelchair,check_date,tourism,diet:vegetarian,created_by,indoor_seating,addr:place,operator,name:fa,disused,cmt,description,ele,source,sym,addr:housename,name:ru,level,short_name,man_made,name:es,name:en,addr:country,official_name,wifi,contact:phone,start_date,name:fr,toilets,toilets:access,parking,popular name,email,food,diet:vegan,internet_access:fee,name:ca,name:hi,brand:wikipedia,name:ko,fixme,name:kn,name:de,name:ar,addr:hamlet,drive_through,phone_1,access,building:levels,source:height,name:ja,drink:coffee,drink:tea,seats,tables,addr:subdistrict,payment:cash,payment:debit_cards,payment:paytm,sport,alcohol,drink:beer,drink:vodka,drink:wine,self_service,drink:sake,branch,name:he,name:bn,addr:block,contact:email,contact:facebook,contact:instagram,contact:website,drink:shake,addr:district,instagram,indoor,diet:lacto_vegetarian,drink:hot_chocolate,opening_hours:covid19,diet:non-vegetarian,reservation,amenity_1,organic,addr:full
28.5949542,77.0182723,,Polygon,"77.0182723,28.5949542,77.0182399,28.594955,77.0182408,28.5949425,77.0181178,28.5949483,77.0181168,28.5949299,77.0181178,28.5949165,77.0181168,28.5949056,77.0181187,28.5948914,77.0181206,28.5948763,77.0181264,28.5948654,77.0181321,28.5948537,77.0181388,28.594842,77.018155,28.5948252,77.0181683,28.5948127,77.0181817,28.5948026,77.0182036,28.5947926,77.0182227,28.5947834,77.0182427,28.5947775,77.0182599,28.59477,77.0182751,28.594765,77.0183028,28.5947616,77.0183324,28.5947616,77.0183619,28.5947608,77.0183915,28.5947691,77.0184297,28.59478,77.018464,28.5947917,77.0184869,28.5948085,77.0185012,28.5948319,77.0185164,28.5948621,77.018525,28.5948881,77.0185308,28.5949031,77.0185257,28.5949713,77.0184831,28.5949784,77.0184411,28.5949785,77.0184249,28.5949792,77.0184062,28.5949743,77.0184122,28.5949452,77.018382,28.594955,77.0183705,28.5949659,77.0183534,28.5949751,77.0183333,28.5949777,77.0183104,28.5949743,77.0182942,28.5949659,77.0182723,28.5949542",way/154110068,cafe,yes,,Canteen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5590475,77.2837114,,Polygon,"77.2837114,28.5590475,77.2835759,28.5592153,77.2834372,28.5591098,77.2833109,28.5590421,77.2834711,28.5588689,77.2837114,28.5590475",way/252334020,cafe,yes,,FX YOUTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6393573,77.0621175,,Polygon,"77.0621175,28.6393573,77.0623214,28.6389242,77.0636303,28.6394327,77.0632441,28.6401483,77.0621175,28.6393573",way/262565098,cafe,yes,,Evershine Apartments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.549673,77.1679096,,Polygon,"77.1679096,28.549673,77.1678571,28.5496137,77.1678919,28.5495899,77.1679444,28.5496492,77.1679096,28.549673",way/340381516,cafe,yes,,Ganga Dhaba,,,,"Tea,_coffee,_shakes,_banta,_nimbu_pani,_samosa,_bread_roll,_rolls,_etc.",,,Delhi,,110067,Jawaharlal Nehru University,,,10:00-24:00,,yes,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5497784,77.168085,,Polygon,"77.168085,28.5497784,77.1680587,28.5497441,77.1681055,28.5497165,77.1681317,28.5497508,77.168085,28.5497784",way/340387312,cafe,yes,,Ram Singh's Dhaba,,,,"Roti,_chawal,_dal,_sabji,_chicken,_etc.",,,,,110067,Jawaharlal Nehru University,,,opening_hours=17:00-23:00,,yes,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5483594,77.1669218,,Polygon,"77.1669218,28.5483594,77.1668722,28.5483924,77.1668387,28.548357,77.166891,28.5483229,77.1669218,28.5483594",way/340397724,cafe,yes,,Food Shop,,,,"Tea,_coffee,_momo,_sandwich,_etc.",,,,,,Jawaharlal Nehru University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5484045,77.1668423,,Polygon,"77.1668423,28.5484045,77.166801,28.5484313,77.1667711,28.5483956,77.1668124,28.5483689,77.1668423,28.5484045",way/340398004,cafe,yes,,Amul Shop,,,,,,,,,110067,Jawaharlal Nehru University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.533492,77.1518947,,Point,,node/248852574,cafe,,,Cafe Coffee Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5392027,77.194444,,Point,,node/301037266,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6348946,77.2222257,,Point,,node/928564493,cafe,,,Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,کافه کوستا,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
