latitude,longitude,altitude,geometry,coordinates,@id,addr:city,addr:housenumber,addr:postcode,addr:street,building,internet_access,name,rooms,smoking,stars,tourism,type,internet_access:fee,name:ckb,name:hi,name:zh,opening_hours,website,wikidata,amenity,description,internet_access:ssid,natural,operator,brand,contact:facebook,contact:instagram,email,fax,phone,start_date,wheelchair,level,addr:unit,wikipedia,internet_access:type,admin_level,alt_name,network,railway,ref,usage,name:bn,public_transport,train,designation,source,addr:country,addr:suburb,cuisine,diet:vegan,addr:place,brand:wikidata,official_name,outdoor_seating,takeaway,addr:housename,payment:cash,name:he,name:en,name:ja,star,name:ru,shop,indoor_seating,seats,tables,toilets,name:fr,ele,name:de,name:es,name:it,addr:full,information,craft
28.6456256,77.2173855,,Point,,node/4159234789,,5,,Arakashan Road,,wlan,Zostel,,,,hostel,,,,,,,https://www.zostel.com/,,,,,,,,,,delhi@zostel.com,,9.18826E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6455389,77.2173794,,Point,,node/4793870823,,,,Arakashan Road,,wlan,Zostel,,,,hostel,,,,Zostel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zostel,,,,,,,,,,,,,,,,
28.6779107,77.2638615,,Point,,node/4829934821,,T-105,110053,Street No.4,,wlan,Zentek Educational  & Welfare Society,,,,,,,,ज़ेनटेक शैक्षिक एवम कल्याण समाज,,Mo-Sa 08:00-21:00,http://www.zentekngo.org,,,,,,,,,,zentekcomputereducation@gmail.com,,9.19812E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zentek Educational  & Welfare Society,,,,computer,,,,,,,,,,,,
28.6414075,77.2165842,,Point,,node/4711593889,,4459-61,110055,Main Bazaar,,wlan,You and Me,,,,hotel,,,,,,24/7,,,,,,,,,,,hotelyoumedelhi055@gmail.com,,11235583563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,You and Me,,,Ты и Я,,,,,,,,,,,,,
28.554715,77.1940995,,Point,,node/6397664885,,Building 19,110016,Hauz Khas Village Road,,wlan,Workcoh Hostel,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5547192,77.1941087,,Point,,node/6397665085,,building 19,110016,Hauz Khas Village Road,,wlan,Workcoh Hostel,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5653226,77.1579737,,Point,,node/7354735785,,19,,E-1,,wlan,TV channel Russia RTR,,,,,,,,टीवी चैनल रूस आरटीआर,,Mo-Fr 09:00-18:00,https://www.youtube.com/channel/UCgnRp52sN6TMl240wE9RdSA,,cinema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Телеканал Россия RTR,,,,,,,,,,,,,
28.5026954,77.2976084,,Point,,node/1835677720,,,,,,wlan,Tughlakabad,,,,,,,,,,,,Q16902027,,,,,Northern Railway (NR),,,,,,,,,,,en:Tughlakabad railway station,,,,Indian Railways (IR),station,TKD,,,station,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6417585,77.2152429,,Point,,node/4305400489,,867-868,110055,Gali Chandi Wali,,wlan,the spot,,,,hotel,,,,,,,www.hotelthespot.in,,,,,,,,,,hotelthespot@ymail.com,,91-11-23580168/69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6216848,77.2170271,,Point,,node/5841373585,,19,110001,Ashoka Road,,wlan,The Royal Plaza,,,,hotel,,,,होटल रॉयल प्लाज़ा,,,http://www.hoteltheroyalplaza.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6455851,77.217499,,Polygon,"77.217499,28.6455851,77.2174963,28.6455067,77.2175776,28.6455045,77.2175803,28.6455829,77.217499,28.6455851",way/484725161,,,,,hotel,wlan,The Prime Balaji Deluxe,,,3,hotel,,no,,,,,,,,,BALAJI-WIFI,,,,,,,,,,,,,,wifi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5469213,77.2540743,,Point,,node/6929384485,,,,,,wlan,The Oakland Plaza,,,,hotel,,,,,,,,,,,,,,,,,,,9.11147E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5427627,77.2139946,,Point,,node/4235546804,New Delhi,S-39A,110017,,,wlan,The Madpackers Hostel,,outside,,hostel,,,,,,,,,,,,,,,,,delhi@themadpackers.in,,9.11142E+11,,no,,,,,,,,,,,,,,,,,,,,Panchsheel Park,,,,,,,,,,,,,,,,,,,,,,,,
28.6315878,77.2274924,,Point,,node/4759508059,,,,,,wlan,The Lalit,,,,hotel,,,,,,,,,,,THELaLiT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Lalit,,,,,,,,,,,,,,,,
28.6302645,77.2203409,,Point,,node/6073119985,,,,Outer Circle,,wlan,The Junkyard Cafe,,,,,,,,,,,,,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5708985,77.2599031,,Point,,node/6859420398,,,,,,wlan,The Hosteller New Dehli,,,,hostel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6340937,77.2186423,,Point,,node/6566959761,New Delhi,B-49,110001,"Connaught Circus (Indira Chowk), Connaught Place",,wlan,The Corus Hotel,,,,hotel,,,,द करुस होटल,,,https://www.hotelcorus.com/,,,,,,,,,,,,-43652142,,,,,,,,,,,,,দি কোরাস হোটেল,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6343655,77.2179596,,Point,,node/5709171322,,,,,,wlan,The chai kafe,,,,,,,,,,,,,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5825233,77.2512324,,Point,,node/6211193766,,,,,,wlan,The Beaufort Inn,,,,hotel,,,,,,,https://hotelbeaufortdelhi.in/,,,,,,,,,,info@hotelbeaufortdelhi.in,,9.19872E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"746, Jangpura, Mathura Rd, Delhi 110014, India",,
28.5678415,77.1890504,,Point,,node/6657822763,,,,,,wlan,Thali Wala,,,,,,,,,,,,,restaurant,,,,,,,,,,9.11149E+11,,yes,0,,,,,,,,,,,,,,,,,indian,,,,,,yes,,,,,,,,,,,,,,,,,,,,
28.5006053,77.1857471,,Point,,node/4138055091,,,,100 Feet Road,,wlan,"subway, lavazza",,,,,,,,,,,,,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,burger;regional;ice_cream;cake;coffee_shop;asian;pasta;noodles;pancake;donut;pizza;diner;indian;curry;fish;breakfast;tea;chinese;deli;barbecue,yes,,,,,,,,,,,,,,,,,,,,,,,,,
28.6409405,77.2387325,,Point,,node/3698521844,,4/23-B,110002,Asif Ali Road,,wlan,Stops Hostel Delhi,,,,hostel,,,,,,,http://www.stopshostels.com/,,,,,,,,,,,,9.11141E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6302749,77.2204652,,Point,,node/4241254891,,,,,,wlan,Starbucks,,no,,,,no,,,,Mo-Su 08:00-00:30,,,cafe,,,,,Starbucks,,,,,,,limited,,,,,,,,,,,,,,,,,,coffee_shop,,,Q37158,Starbucks Coffee,no,yes,,,,,,,,,,,,,,,,,,,,
28.5174361,77.1984494,,Point,,node/5816260327,New Delhi,315/274,,Westend Marg,,wlan,Ssongchee - Korea Bings Cafe,,outside,,,,,,,,,https://www.zomato.com/ncr/ssongchee-korea-bings-cafe-saket-new-delhi,,cafe,,,,,,,,,,-173874,,,,,,,,,,,,,,,,,,,,korean,,Saiyad ul Ajaib,,,,yes,,,,,,,,,,,,,,,,,,,,
28.5582832,77.1998002,,Point,,node/5289216321,,,,,,wlan,Soul Stay Hostel,,,,guest_house,,,,Soul Stay Hostel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6411587,77.2134007,,Point,,node/7222985985,,,,1176 Main Bazar,,wlan,Singh’s café & restaurant,,,,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
