latitude,longitude,altitude,geometry,coordinates,@id,amenity,barrier,name,building,operator,alt_name,addr:city,addr:housenumber,addr:postcode,addr:street,phone,addr:district,name:en,name:hi,source,designation,fax,crossing,highway
28.6663803,77.226921,,Polygon,"77.226921,28.6663803,77.2269824,28.6663785,77.226986,28.6664753,77.2269245,28.666477,77.226921,28.6663803",way/48532705,police,,,,,,,,,,,,,,,,,,
28.5495713,77.2553409,,Polygon,"77.2553409,28.5495713,77.2555148,28.5496437,77.2554045,28.5498532,77.2552271,28.5497822,77.2553409,28.5495713",way/153157987,police,wall,Nehru Place Police Station,,,,,,,,,,,,,,,,
28.5362792,77.2493227,,Polygon,"77.2493227,28.5362792,77.2503082,28.5365335,77.2493751,28.5370486,77.2490175,28.5372818,77.2487488,28.5369368,77.2493227,28.5362792",way/154712258,police,wall,CR Park Police Station,yes,,,,,,,,,,,,,,,
28.5684487,77.240258,,Polygon,"77.240258,28.5684487,77.2401354,28.5681985,77.2404346,28.5680855,77.2404016,28.5680183,77.240479,28.567989,77.2404611,28.5679525,77.2406031,28.5678988,77.2406517,28.5679978,77.2405193,28.5680478,77.2406442,28.5683028,77.240258,28.5684487",way/169412325,police,,Lajpat Nagar Police Station,yes,Delhi Police,,,,,,,,,,,,,,
28.5352011,77.1521073,,Polygon,"77.1521073,28.5352011,77.1520855,28.5354645,77.1516411,28.5357015,77.1513274,28.5352476,77.1521486,28.5348096,77.152262,28.5349737,77.1520342,28.5350953,77.1521073,28.5352011",way/190291268,police,,,,,,,,,,,,,,,,,,
28.5347576,77.1426919,,Polygon,"77.1426919,28.5347576,77.1424154,28.5344877,77.1433538,28.5335455,77.1433762,28.5336191,77.1433845,28.5337442,77.1433371,28.5340092,77.1432561,28.5342251,77.1431611,28.5344043,77.143041,28.5345637,77.1426919,28.5347576",way/190291270,police,wall,,,,,,,,,,,,,,,,,
28.5902584,77.0282272,,Polygon,"77.0282272,28.5902584,77.0288483,28.5909972,77.0279148,28.5916023,77.0272937,28.5908636,77.0282272,28.5902584",way/209494684,police,wall,,,,,,,,,,,,,,,,,
28.5231403,77.2082238,,Polygon,"77.2082238,28.5231403,77.2084228,28.5231008,77.2085536,28.5236092,77.2083545,28.5236487,77.2082238,28.5231403",way/239641074,police,,Saket Police Station,yes,,,,,,,,,,,,,,,
28.5622469,77.2672866,,Polygon,"77.2672866,28.5622469,77.2673286,28.5621895,77.2678196,28.562467,77.2675341,28.5628566,77.2670432,28.5625791,77.2672866,28.5622469",way/258246547,police,,New Friends Colony PS,,,,,,,,,,,,,,,,
28.6741702,77.2847604,,Polygon,"77.2847604,28.6741702,77.2857001,28.6744096,77.2853592,28.6754376,77.2844162,28.6751914,77.2847604,28.6741702",way/259024069,police,,,,,,,,,,,,,,,,,,
28.6852521,77.2016848,,Polygon,"77.2016848,28.6852521,77.2015802,28.6849297,77.2027086,28.6846438,77.2027335,28.6847556,77.2022802,28.685365,77.2021864,28.6853109,77.2020415,28.6852662,77.2019181,28.6852474,77.2018296,28.6852474,77.2016848,28.6852521",way/259036535,police,,,,,,,,,,,,,,,,,,
28.6118563,77.076635,,Polygon,"77.076635,28.6118563,77.0766194,28.6115515,77.0769906,28.6115333,77.077011,28.6118404,77.076635,28.6118563",way/260463358,police,,,,,,,,,,,,,,,,,,
28.5311649,77.265937,,Polygon,"77.265937,28.5311649,77.265284,28.5310265,77.2654414,28.5304733,77.2660897,28.5306175,77.265937,28.5311649",way/262248695,police,,,,,,,,,,,,,,,,,,
28.6303268,77.0675466,,Polygon,"77.0675466,28.6303268,77.0675302,28.6298903,77.0676217,28.6297335,77.0683911,28.6300303,77.0684156,28.6302656,77.0675466,28.6303268",way/262562939,police,,,,,,,,,,,,,,,,,,
28.5634702,77.231908,,Polygon,"77.231908,28.5634702,77.2326158,28.5633278,77.2332415,28.5644039,77.2334248,28.5648715,77.233375,28.5650269,77.2333363,28.5651548,77.2331261,28.5652799,77.232914,28.5653251,77.2326826,28.5653521,77.232145,28.5653535,77.232093,28.5650786,77.2320539,28.5648749,77.2320227,28.5648666,77.2319954,28.5645848,77.2320669,28.5645706,77.231908,28.5634702",way/265763300,police,,,,,,,,,,,,,,,,,,
28.6687458,77.1830756,,Polygon,"77.1830756,28.6687458,77.1840619,28.6684113,77.184293,28.668936,77.1833067,28.6692705,77.1830756,28.6687458",way/265911418,police,,,yes,,,,,,,,,,,,,,,
