latitude,longitude,altitude,geometry,coordinates,@id,amenity,building,name,type,shop,landuse,tourism,area,highway,addr:housenumber,addr:street,barrier,operator,addr:city,addr:postcode,check_date,opening_hours,wheelchair,building:levels,toilets:wheelchair,wikidata,opening_hours:cinema,opening_hours:restaurant,source,alt_name,access,phone,addr:district,name:en,name:hi,indoor:area,indoor:level,male,fee,toilets:disposal,layer,description,note,female,level,website,designation,fax,place,payment:bitcoin,payment,tactile_paving,unisex,changing_table,address,crossing,disused:amenity
28.65692,77.2214523,,Polygon,"77.2214523,28.65692,77.2214777,28.6563755,77.2222061,28.6564016,77.2221807,28.6569461,77.2214523,28.65692,77.2215932,28.6568072,77.2221025,28.6568255,77.2221173,28.6565079,77.221608,28.6564896,77.2215932,28.6568072",relation/5246853,marketplace,yes,Wholesale Spice Market,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6663803,77.226921,,Polygon,"77.226921,28.6663803,77.2269824,28.6663785,77.226986,28.6664753,77.2269245,28.666477,77.226921,28.6663803",way/48532705,police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.7036913,77.1582441,,Polygon,"77.1582441,28.7036913,77.1570863,28.7030586,77.1578975,28.7019166,77.1590553,28.7025493,77.1582441,28.7036913",way/78180108,,,,,mall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6444701,77.2261285,,Polygon,"77.2261285,28.6444701,77.2247534,28.6451637,77.2245755,28.6452139,77.2238915,28.6451033,77.2238191,28.6450562,77.223811,28.6449503,77.223972,28.6444159,77.2240819,28.6442606,77.2241914,28.6441729,77.2255276,28.6435332,77.2261285,28.6444701",way/80418115,marketplace,,Kamala Market,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5114924,77.2634079,,Polygon,"77.2634079,28.5114924,77.2634043,28.5110279,77.263455,28.5110215,77.2634623,28.511486,77.2634079,28.5114924",way/102758311,marketplace,yes,Meena Bazar,,,,attraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6408238,77.2132873,,Polygon,"77.2132873,28.6408238,77.2132889,28.6407887,77.2133142,28.640744,77.213336,28.6406973,77.2133668,28.6406805,77.2133759,28.6406755,77.2135218,28.6407079,77.2136674,28.6407603,77.2136187,28.6409201,77.2136511,28.6409509,77.2137718,28.6410657,77.2136977,28.6410628,77.2133929,28.6410504,77.2134,28.6409674,77.2133168,28.640918,77.2132873,28.6408238",way/123406193,marketplace,,Tooti Chowk (Subzi Mandi),,,,,yes,pedestrian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.7036171,77.2283854,,Polygon,"77.2283854,28.7036171,77.2283854,28.7034713,77.2287985,28.7034901,77.2287904,28.7036171,77.2283854,28.7036171",way/129792196,,yes,,,mall,,,,,39,Tibetan New Camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.4809827,77.1151036,,Polygon,"77.1151036,28.4809827,77.1150908,28.4811349,77.114681,28.4812187,77.1132906,28.4814246,77.111398,28.4814339,77.1105333,28.4814043,77.1097467,28.4818526,77.1092784,28.4821272,77.1086572,28.4821614,77.1085982,28.481508,77.1089168,28.4813732,77.1089202,28.4810342,77.1094714,28.480948,77.1094124,28.480668,77.1108047,28.4803776,77.1116649,28.4799806,77.1130478,28.4798328,77.1150288,28.4799971,77.1151036,28.4809827",way/143050456,marketplace,,marble market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6003537,77.0469576,,Polygon,"77.0469576,28.6003537,77.0473428,28.6007988,77.0464221,28.601413,77.0460369,28.6009679,77.0469576,28.6003537",way/151571969,,,"Commercial Area, Sec 4",,mall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5495713,77.2553409,,Polygon,"77.2553409,28.5495713,77.2555148,28.5496437,77.2554045,28.5498532,77.2552271,28.5497822,77.2553409,28.5495713",way/153157987,police,,Nehru Place Police Station,,,,,,,,,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
