latitude,longitude,altitude,geometry,coordinates,@id,amenity,building,country,diplomatic,name,name:fr,office,target,wikidata,addr:place,addr:housenumber,addr:street,barrier,name:es,name:hi,addr:city,addr:postcode,information,operator,tourism,fax,opening_hours,phone,website,name:en,wikipedia,email,name:nl,name:ja,name:ru,board_type,name:zh,shop,description,level,vending,addr:country,alt_name,alt_name:de,alt_name:en,alt_name:fr,alt_name:nl,embassy,name:ar,name:de,name:it,name:lb,name:lo,name:sq,internet_access,internet_access:fee,name:uk
28.5588394,77.1610604,,Polygon,"77.1610604,28.5588394,77.1610389,28.5587185,77.1612822,28.5586796,77.1613039,28.5587958,77.1610604,28.5588394",way/299538119,embassy,yes,PE,embassy,"Embassy of Peru, New Delhi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.578007,77.1730467,,Polygon,"77.1730467,28.578007,77.1728639,28.5781388,77.1728618,28.5781354,77.172816,28.5781569,77.1727164,28.5782036,77.1725955,28.5780049,77.1727061,28.577953,77.1727409,28.5779366,77.1727424,28.5779391,77.1728312,28.5779052,77.1730467,28.578007",way/349712467,embassy,yes,DZ,embassy,Embassy of Algeria,Ambassade d'Algérie,diplomatic,IN,Q100269162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5660912,77.1600305,,Polygon,"77.1600305,28.5660912,77.1601058,28.5659935,77.160389,28.566162,77.1603137,28.5662597,77.1600305,28.5660912",way/349967162,embassy,office,ZA,high_commission,South African High Commission,Haut-commissariat d'Afrique du Sud,diplomatic,IN,,Vasant Vihar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5681897,77.161999,,Polygon,"77.161999,28.5681897,77.1618376,28.5680934,77.1619614,28.5679333,77.1621206,28.5680283,77.1621016,28.5680513,77.161999,28.5681897",way/349967173,embassy,office,UY,embassy,Embassy of Uruguay,Ambassade d'Uruguay,diplomatic,IN,,Vasant Vihar,3,B-8,wall,Embajada de Uruguay,ऊरूग्वे का राजदूतावास,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.566136,77.1610662,,Polygon,"77.1610662,28.566136,77.161242,28.5662427,77.1611844,28.566316,77.1610085,28.5662093,77.1610662,28.566136",way/349967184,embassy,office,NA,high_commission,High Commission of the Republic of Namibia,Haut-commissariat de Namibie,diplomatic,IN,,Vasant Vihar,6,B-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5657414,77.1613326,,Polygon,"77.1613326,28.5657414,77.1613978,28.5656548,77.161581,28.5657612,77.1615158,28.5658478,77.1613326,28.5657414",way/349967215,embassy,office,GA,,Embassy of the Gabonese Republic,Ambassade du Gabon,embassy,IN,,Vasant Vihar,1,B-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5609125,77.1628208,,Polygon,"77.1628208,28.5609125,77.1628236,28.5608498,77.1628873,28.560852,77.1628924,28.5607346,77.16298,28.5607375,77.1629775,28.5607951,77.1629674,28.5607948,77.162962,28.5609173,77.1628208,28.5609125",way/350006612,embassy,office,KG,embassy,Embassy of the Kyrgyz Republic,,diplomatic,IN,,,11,A-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5612032,77.1625996,,Polygon,"77.1625996,28.5612032,77.1628264,28.5611976,77.1628293,28.5612896,77.1626025,28.5612952,77.1625996,28.5612032",way/350033832,embassy,office,IQ,embassy,Embassy of the Republic of Iraq,Ambassade d'Irak,diplomatic,IN,,,14,A-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5680273,77.162729,,Polygon,"77.162729,28.5680273,77.162754,28.5680418,77.1629253,28.5681412,77.1628706,28.568214,77.1626743,28.5681001,77.162729,28.5680273",way/350079348,embassy,office,UG,high_commission,High Commission of the Republic of Uganda,Haut-commissariat d'Ouganda,diplomatic,IN,,Vasant Vihar,13,B-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6740167,77.2875178,,Polygon,"77.2875178,28.6740167,77.2876995,28.6740445,77.2876668,28.6741549,77.2874932,28.6741107,77.2875178,28.6740167",way/351420747,,yes,,,Delhi Transport Corporation,,,,,,Shahdara Bus Terminal,GT Road,,,,Shahdara,110032,office,Delhi Transport Corporation,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5437322,77.2181981,,Polygon,"77.2181981,28.5437322,77.2181873,28.5436499,77.2183117,28.5436372,77.2183225,28.5437195,77.2181981,28.5437322",way/352569724,embassy,yes,KH,embassy,Embassy of cambodia,,,,,,,Outer Ring Road,,,,New Delhi,110017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.4935831,77.2661022,,Polygon,"77.2661022,28.4935831,77.26611,28.4934229,77.2663349,28.4934365,77.266331,28.4937331,77.2662573,28.4937262,77.2662535,28.4936069,77.2661022,28.4935831",way/484401842,,yes,,,Asola Information Center,,,,,,,,,,,,,national_park,,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.586567,77.1862264,,Polygon,"77.1862264,28.586567,77.1859975,28.5866625,77.1858611,28.5864102,77.1860899,28.5863147,77.1862264,28.586567",way/488658381,embassy,yes,KW,embassy,Embassy off Kuwait,Ambassade du Koweït,diplomatic,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
