S.No.,city,Country,location,Longitude,Latitude,lat_long
1,Agartala,India,"Agartala, India",91.2823821,23.8312377,"23.8312377, 91.2823821"
2,Agra,India,"Agra, India",78.0098161,27.1752554,"27.1752554, 78.0098161"
3,Ahmedabad,India,"Ahmedabad, India",72.5797068,23.0216238,"23.0216238, 72.5797068"
4,Aizawl,India,"Aizawl, India",92.7382905,23.7435236,"23.7435236, 92.7382905"
5,Ajmer,India,"Ajmer, India",74.639,26.4691,"26.4691, 74.639"
6,Alwar,India,"Alwar, India",76.61445249,27.63907705,"27.639077049999997, 76.6144524902045"
7,Amaravati,India,"Amaravati, India",80.5184535,16.5096679,"16.5096679, 80.5184535"
8,Ambala,India,"Ambala, India",76.770421,30.3843674,"30.3843674, 76.770421"
9,Amritsar,India,"Amritsar, India",74.8736788,31.6343083,"31.6343083, 74.8736788"
10,Ankleshwar,India,"Ankleshwar, India",72.9945103,21.6293206,"21.6293206, 72.9945103"
11,Asansol,India,"Asansol, India",86.9746587,23.6871297,"23.6871297, 86.9746587"
12,Aurangabad,India,"Aurangabad, India",75.3390241,19.877263,"19.877263, 75.3390241"
13,Bagalkot,India,"Bagalkot, India",75.6967919,16.1853166,"16.1853166, 75.6967919"
14,Baghpat,India,"Baghpat, India",77.33315285,28.97240405,"28.97240405, 77.33315284938224"
15,Bahadurgarh,India,"Bahadurgarh, India",76.83467647,28.6609648,"28.660964800000002, 76.83467647083376"
16,Ballabgarh,India,"Ballabgarh, India",77.36040707,28.29171395,"28.291713950000002, 77.36040706812736"
17,Bathinda,India,"Bathinda, India",75.04710156,30.17911535,"30.17911535, 75.04710156312628"
18,Bengaluru,India,"Bengaluru, India",77.5912997,12.9791198,"12.9791198, 77.5912997"
19,Bhiwadi,India,"Bhiwadi, India",76.837441,28.2039413,"28.2039413, 76.837441"
20,Bhiwani,India,"Bhiwani, India",76.1391283,28.7931703,"28.7931703, 76.1391283"
21,Bhopal,India,"Bhopal, India",77.401989,23.2584857,"23.2584857, 77.401989"
22,Bidar,India,"Bidar, India",77.333333,18.083333,"18.083333, 77.333333"
23,Brajrajnagar,India,"Brajrajnagar, India",83.9176,21.8285,"21.8285, 83.9176"
24,Bulandshahr,India,"Bulandshahr, India",77.97479773,28.38886085,"28.38886085, 77.97479772598118"
25,Chandigarh,India,"Chandigarh, India",76.7797143,30.7334421,"30.7334421, 76.7797143"
26,Chandrapur,India,"Chandrapur, India",91.89620685,26.21231825,"26.21231825, 91.89620684881584"
27,Chennai,India,"Chennai, India",80.270186,13.0836939,"13.0836939, 80.270186"
28,Chikkaballapur,India,"Chikkaballapur, India",77.7306866,13.4352549,"13.4352549, 77.7306866"
29,Chikkamagaluru,India,"Chikkamagaluru, India",75.5,13.5,"13.5, 75.5"
30,Coimbatore,India,"Coimbatore, India",76.9628425,11.0018115,"11.0018115, 76.9628425"
31,Delhi,India,"Delhi, India",77.2219388,28.6517178,"28.6517178, 77.2219388"
32,Dewas,India,"Dewas, India",76.166667,23,"23.0, 76.166667"
33,Dharuhera,India,"Dharuhera, India",76.7953099,28.2055216,"28.2055216, 76.7953099"
34,Durgapur,India,"Durgapur, India",87.3380425,23.5350475,"23.5350475, 87.3380425"
35,Eloor,India,"Eloor, India",76.30710819,10.07014995,"10.070149950000001, 76.30710819271715"
36,Ernakulam,India,"Ernakulam, India",76.4848521,10.1295438,"10.1295438, 76.4848521"
37,Faridabad,India,"Faridabad, India",77.3103837,28.4029786,"28.4029786, 77.3103837"
38,Fatehabad,India,"Fatehabad, India",75.52107147,29.4688301,"29.468830099999998, 75.52107146631747"
39,Gandhinagar,India,"Gandhinagar, India",72.6492267,23.2232877,"23.2232877, 72.6492267"
40,Gaya,India,"Gaya, India",85.0079563,24.7964355,"24.7964355, 85.0079563"
41,Ghaziabad,India,"Ghaziabad, India",77.4445372,28.711241,"28.711241, 77.4445372"
42,Noida,India,"Noida, India",77.3271074,28.5707841,"28.5707841, 77.3271074"
43,Gurugram,India,"Gurugram, India",77.0299194,28.4646148,"28.4646148, 77.0299194"
44,Guwahati,India,"Guwahati, India",91.753943,26.1805978,"26.1805978, 91.753943"
45,Gwalior,India,"Gwalior, India",78.1573628,26.2037247,"26.2037247, 78.1573628"
46,Hapur,India,"Hapur, India",77.83542557,28.7406125,"28.740612499999997, 77.83542556519009"
47,Hisar,India,"Hisar, India",75.7461103,29.168807,"29.168807, 75.7461103"
48,Howrah,India,"Howrah, India",88.3251045,22.5736296,"22.5736296, 88.3251045"
49,Hubballi,India,"Hubballi, India",75.1379848,15.3518378,"15.3518378, 75.1379848"
50,Hyderabad,India,"Hyderabad, India",78.4740613,17.360589,"17.360589, 78.4740613"
51,Indore,India,"Indore, India",75.8681996,22.7203616,"22.7203616, 75.8681996"
52,Jabalpur,India,"Jabalpur, India",79.9497702,23.1608938,"23.1608938, 79.9497702"
53,Jaipur,India,"Jaipur, India",75.8189817,26.9154576,"26.9154576, 75.8189817"
54,Jalandhar,India,"Jalandhar, India",75.56805772,31.29201065,"31.29201065, 75.56805772253911"
55,Jind,India,"Jind, India",76.33847077,29.30182625,"29.301826249999998, 76.33847076788838"
56,Jodhpur,India,"Jodhpur, India",73.0351433,26.2967719,"26.2967719, 73.0351433"
57,Kaithal,India,"Kaithal, India",76.37830987,29.82282075,"29.822820749999998, 76.37830986647243"
58,Kalaburgi,India,"Kalaburgi, India",77.0262316,17.0939942,"17.0939942, 77.0262316"
59,Kannur,India,"Kannur, India",75.3738043,11.8762254,"11.8762254, 75.3738043"
60,Kanpur,India,"Kanpur, India",80.3217588,26.4609135,"26.4609135, 80.3217588"
61,Karnal,India,"Karnal, India",76.9896254,29.6803266,"29.6803266, 76.9896254"
